tg_ecotypeid name country latitude longitude seq_by neanderthal
88 CYR FRA 47.4 0.683333 Monsanto NO
108 LDV-18 FRA 48.5167 -4.06667 Monsanto NO
139 LDV-46 FRA 48.5167 -4.06667 Monsanto NO
159 MAR2-3 FRA 47.35 3.93333 Monsanto NO
265 PYL-6 FRA 44.65 -1.16667 Monsanto NO
350 TOU-A1-88 FRA 46.6667 4.11667 Monsanto NO
351 TOU-A1-89 FRA 46.6667 4.11667 Monsanto NO
403 Zdarec3 CZE 49.3667 16.2667 Monsanto NO
410 Doubravnik7 CZE 49.4211 16.3497 Monsanto NO
424 Draha2 CZE 49.4112 16.2815 Monsanto NO
428 Borky1 CZE 49.403 16.232 Monsanto NO
430 Gr-1 AUT 47 15.5 Salk NO
470 BRR4 USA 40.8313 -87.735 MPI NO
476 BRR12 USA 40.8313 -87.735 MPI NO
484 BRR23 USA 40.8313 -87.735 MPI NO
504 BRR57 USA 40.8313 -87.735 MPI NO
506 BRR60 USA 40.8313 -87.735 MPI NO
531 BRR107 USA 40.8313 -87.735 MPI NO
544 LI-WP-039 USA 40.9076 -73.2089 MPI NO
546 LI-WP-041 USA 40.9076 -73.2089 MPI NO
628 LI-OF-061 USA 40.7777 -72.9069 MPI NO
630 LI-OF-065 USA 40.7777 -72.9069 Monsanto NO
680 LI-RR-096 USA 40.9447 -72.8615 MPI NO
681 LI-RR-097 USA 40.9447 -72.8615 MPI NO
685 LI-EF-011 USA 40.9064 -73.1493 MPI NO
687 LI-EF-018 USA 40.9064 -73.1493 MPI NO
728 LI-SET-019 USA 40.9352 -73.114 MPI NO
742 LI-SET-036 USA 40.9352 -73.114 MPI NO
763 Kar-1 KGZ 42.3 74.3667 Salk NO
765 Sus-1 KGZ 42.1833 73.4 Salk NO
766 Dja-1 KGZ 42.5833 73.6333 Salk NO
768 Zal-1 KGZ 42.8 76.35 Salk NO
772 Neo-6 TJK 37.35 72.4667 Salk NO
801 KYC-33 USA 37.9169 -84.4639 Monsanto NO
853 MIA-1 USA 41.7976 -86.6691 MPI NO
854 MIA-5 USA 41.7976 -86.6691 MPI NO
867 MIC-20 USA 41.8266 -86.4366 MPI NO
868 MIC-24 USA 41.8266 -86.4366 MPI NO
870 MIC-31 USA 41.8266 -86.4366 Monsanto NO
915 LIN USA 41.8972 -71.4378 Monsanto NO
932 CHA-41 USA 42.3634 -71.1445 Monsanto NO
991 Ale-Stenar-41-1 SWE 55.3833 14.05 GMI NO
992 Ale-Stenar-44-4 SWE 55.3833 14.05 GMI NO
997 Ale-Stenar-56-14 SWE 55.3833 14.05 GMI NO
1002 Ale-Stenar-64-24 SWE 55.3833 14.05 GMI NO
1006 Ale-Stenar-77-31 SWE 55.3833 14.05 GMI NO
1061 Brösarp-11-135 SWE 55.7167 14.1333 GMI NO
1062 Brösarp-15-138 SWE 55.7167 14.1333 GMI NO
1063 Brösarp-21-140 SWE 55.7167 14.1333 GMI NO
1066 Brösarp-34-145 SWE 55.7167 14.1333 GMI NO
1070 Brösarp-45-153 SWE 55.7167 14.1333 GMI NO
1158 Aledal-6-49 SWE 56.7 16.5167 GMI NO
1166 Aledal-14-73 SWE 56.7 16.5167 GMI NO
1254 Tos-82-387 SWE 59.4333 17.0167 GMI NO
1257 Tos-95-393 SWE 59.4333 17.0167 GMI NO
1313 Ängsö-59-422 SWE 59.5667 16.8667 GMI NO
1317 Ängsö-74-430 SWE 59.5667 16.8667 GMI NO
1552 Sku-30 SWE 63.0833 18.3667 GMI NO
1612 Brn-10 USA 41.9 -86.583 MPI NO
1622 Brn-24 USA 41.9 -86.583 MPI NO
1651 DuckLkSP38 USA 43.3431 -86.4045 MPI NO
1652 DuckLkSP40 USA 43.3431 -86.4045 MPI NO
1676 Haz-2 USA 41.879 -86.607 MPI NO
1684 Haz-10 USA 41.879 -86.607 MPI NO
1739 KBS-Mac-68 USA 42.405 -85.398 MPI NO
1741 KBS-Mac-74 USA 42.405 -85.398 MPI NO
1756 Ker-4 USA 42.184 -86.358 MPI NO
1757 Ker-5 USA 42.184 -86.358 MPI NO
1793 L-R-5 USA 41.847 -86.67 MPI NO
1797 L-R-10 USA 41.847 -86.67 MPI NO
1819 Lak-12 USA 41.8 -86.67 MPI NO
1820 Lak-13 USA 41.8 -86.67 MPI NO
1829 Mdn-1 USA 42.051 -86.509 Monsanto NO
1834 Mdn-8 USA 42.051 -86.509 MPI NO
1835 Mdn-10 USA 42.051 -86.509 MPI NO
1851 MNF-Pot-10 USA 43.595 -86.2657 MPI NO
1852 MNF-Pot-15 USA 43.595 -86.2657 MPI NO
1853 MNF-Pot-21 USA 43.595 -86.2657 Monsanto NO
1872 MNF-Pot-75 USA 43.595 -86.2657 Monsanto NO
1890 MNF-Riv-21 USA 43.5139 -86.1859 Monsanto NO
1925 MNF-Che-2 USA 43.5251 -86.1843 Monsanto NO
1942 MNF-Che-47 USA 43.5251 -86.1843 MPI NO
1943 MNF-Che-49 USA 43.5251 -86.1843 MPI NO
1954 MNF-Jac-12 USA 43.5187 -86.1739 Monsanto NO
2016 MNF-Pin-39 USA 43.5356 -86.1788 Monsanto NO
2017 MNF-Pin-40 USA 43.5356 -86.1788 MPI NO
2031 Map-8 USA 42.166 -86.412 MPI NO
2053 Map-35 USA 42.166 -86.412 MPI NO
2057 Map-42 USA 42.166 -86.412 MPI NO
2081 MuskSP-68 USA 43.2483 -86.3368 MPI NO
2091 MuskSP-83 USA 43.2483 -86.3368 MPI NO
2106 MSGA-10 USA 43.2749 -86.0891 MPI NO
2108 MSGA-12 USA 43.2749 -86.0891 MPI NO
2141 MSGA-61 USA 43.2749 -86.0891 MPI NO
2159 Paw-13 USA 42.148 -86.431 MPI NO
2166 Paw-20 USA 42.148 -86.431 MPI NO
2171 Paw-26 USA 42.148 -86.431 Monsanto NO
2191 Pent-7 USA 43.7623 -86.3929 MPI NO
2202 Pent-23 USA 43.7623 -86.3929 Monsanto NO
2212 Pent-46 USA 43.7623 -86.3929 MPI NO
2239 Riv-25 USA 42.184 -86.382 MPI NO
2240 Riv-26 USA 42.184 -86.382 MPI NO
2276 SLSP-31 USA 43.665 -86.496 Monsanto NO
2278 SLSP-35 USA 43.665 -86.496 Monsanto NO
2285 SLSP-69 USA 43.665 -86.496 MPI NO
2286 SLSP-67 USA 43.665 -86.496 MPI NO
2317 Ste-40 USA 42.03 -86.514 Monsanto NO
2370 Yng-4 USA 41.865 -86.646 MPI NO
2412 Yng-53 USA 41.865 -86.646 MPI NO
4779 UKSW06-179 UK 50.4 -4.9 Monsanto NO
4807 UKSW06-207 UK 50.4 -4.9 Monsanto NO
4826 UKSW06-226 UK 50.4 -4.9 Monsanto NO
4840 UKSW06-240 UK 50.4 -4.9 MPI NO
4857 UKSW06-257 UK 50.3 -4.9 MPI NO
4884 UKSW06-285 UK 50.3 -4.9 Monsanto NO
4900 UKSW06-302 UK 50.3 -4.8 Monsanto NO
4939 UKSW06-341 UK 50.4 -4.7 MPI NO
4958 UKSW06-360 UK 50.5 -4.5 Monsanto NO
5023 UKSE06-118 UK 51.3 0.5 Monsanto NO
5104 UKSE06-252 UK 51.3 0.5 Monsanto NO
5151 UKSE06-325 UK 52.2 -1.7 Monsanto NO
5165 UKSE06-362 UK 51.3 0.4 Monsanto NO
5210 UKSE06-432 UK 51.2 0.3 Monsanto NO
5236 UKSE06-470 UK 51.2 0.4 Monsanto NO
5249 UKSE06-491 UK 51.2 0.3 MPI NO
5253 UKSE06-500 UK 51.1 0.6 Monsanto NO
5276 UKSE06-533 UK 51.3 1.1 Monsanto NO
5279 UKSE06-541 UK 51.3 1.1 MPI NO
5349 UKSE06-639 UK 51.1 0.4 Monsanto NO
5353 UKNW06-003 UK 54.5 -3 Monsanto NO
5395 UKNW06-102 UK 54.4 -3 MPI NO
5486 UKNW06-233 UK 54.6 -3.3 Monsanto NO
5577 UKNW06-403 UK 54.7 -3.4 Monsanto NO
5644 UKNW06-481 UK 54.4 -2.9 Monsanto NO
5651 UKNW06-488 UK 54.4 -2.9 MPI NO
5717 Bra-1 UK 54.6 -3.2 MPI NO
5718 UKID11 UK 57 -3.4 MPI NO
5720 Cal-2 UK 53.3 -1.6 Monsanto NO
5726 Cnt-1 UK 51.3 1.1 Monsanto NO
5741 For-2 UK 56.6 -4.1 Monsanto NO
5748 Kil-0 UK 56 -4.4 Monsanto NO
5757 Mc-1 UK 54.6 -2.3 Monsanto NO
5768 UKID63 UK 54.1 -1.5 Monsanto,MPI NO
5772 Set-1 UK 54.1 -2.3 Monsanto NO
5776 UKID71 UK 52.9 -1.3 MPI NO
5779 UKID74 UK 51 -3.1 Monsanto NO
5784 Ty-1 UK 56.4 -5.2 Monsanto NO
5798 UKID93 UK 53.1 -3.3 MPI NO
5800 UKID96 UK 57.4 -5.5 Monsanto NO
5811 UKID107 UK 52.9 -3.1 Monsanto NO
5822 UKID116 UK 56.7333 -5.98333 Monsanto NO
5830 App1-12 SWE 56.3333 15.9667 GMI NO
5831 App1-14 SWE 56.3333 15.9667 GMI NO
5832 App1-16 SWE 56.3333 15.9667 GMI NO
5836 Boo2-3 SWE 55.86 13.51 GMI NO
5837 Bor-1 CZE 49.4013 16.2326 Salk NO
5856 Dör-10 SWE 63.0167 17.4914 GMI NO
5860 Dra-3 SWE 62.6814 18.0165 GMI NO
5865 Dra1-4 SWE 55.76 14.12 GMI NO
5867 Dra2-1 SWE 55.76 14.12 GMI NO
5874 DraII-6 CZE 49.4112 16.2815 Monsanto NO
5890 DraIV CZE 49.4112 16.2815 Monsanto NO
5893 DraIV CZE 49.4112 16.2815 Monsanto NO
5907 DraIV CZE 49.4112 16.2815 Monsanto NO
5921 DraIV CZE 49.4112 16.2815 Monsanto NO
5950 DraIV CZE 49.4112 16.2815 Monsanto NO
5984 DraIV CZE 49.4112 16.2815 Monsanto NO
5993 DraIV CZE 49.4112 16.2815 Monsanto NO
6008 Duk CZE 49.1 16.2 Salk NO
6009 Eden-1 SWE 62.877 18.177 GMI NO
6010 Eden-5 SWE 62.877 18.177 GMI NO
6011 Eden-6 SWE 62.877 18.177 GMI NO
6012 Eden-7 SWE 62.877 18.177 GMI NO
6013 Eden-9 SWE 62.877 18.177 GMI NO
6016 Eds-1 SWE 62.9 18.4 GMI NO
6017 Eds-9 SWE 62.9 18.4 GMI NO
6019 Fjä1-2 SWE 56.06 14.29 GMI NO
6020 Fjä1-5 SWE 56.06 14.29 GMI NO
6021 Fjä2-4 SWE 56.06 14.29 GMI NO
6022 Fjä2-6 SWE 56.06 14.29 GMI NO
6023 Fly2-1 SWE 55.7509 13.3712 GMI NO
6024 Fly2-2 SWE 55.7509 13.3712 GMI NO
6025 Gro-3 SWE 62.6437 17.7339 GMI NO
6030 Grön-5 SWE 62.806 18.1896 GMI NO
6034 Hov1-7 SWE 56.1 13.74 GMI NO
6035 Hov1-10 SWE 56.1 13.74 GMI NO
6036 Hov3-2 SWE 56.1 13.74 GMI NO
6038 Hov3-5 SWE 56.1 13.74 GMI NO
6039 Hovdala-2 SWE 56.1 13.74 GMI NO
