tg_ecotypeid,name,country,sitename,latitude,longitude,collector,collectiondate,release_status,seq_by,picture,CS_number
1612,Brn-10,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78962
1622,Brn-24,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78963
1651,DuckLkSP38,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,,MPI,,CS78964
1652,DuckLkSP40,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,,MPI,,CS78965
1676,Haz-2,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78966
1684,Haz-10,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78967
1739,KBS-Mac-68,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,,MPI,,CS78968
1741,KBS-Mac-74,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,,MPI,,CS78969
1756,Ker-4,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78970
1757,Ker-5,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78971
1793,L-R-5,USA,L-R,41.847,-86.67,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78972
1797,L-R-10,USA,L-R,41.847,-86.67,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78973
1819,Lak-12,USA,Lak,41.8,-86.67,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78974
1820,Lak-13,USA,Lak,41.8,-86.67,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78975
1829,Mdn-1,USA,Mdn,42.051,-86.509,Diane Byers,2002-05-01 00:00:00,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/1829.png,CS77077
1834,Mdn-8,USA,Mdn,42.051,-86.509,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78976
1835,Mdn-10,USA,Mdn,42.051,-86.509,Diane Byers,2002-05-01 00:00:00,,MPI,,CS78977
1851,MNF-Pot-10,USA,MNF-Potter,43.595,-86.2657,Diane Byers,2004-06-05 00:00:00,,MPI,,CS78978
1852,MNF-Pot-15,USA,MNF-Potter,43.595,-86.2657,Diane Byers,2004-06-05 00:00:00,,MPI,,CS78979
