id,FT10_mean,FT10_sd,FT16_mean,FT16_sd,seq_by,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number,group,relict,icon
10000,61,4.0824829046,54.5,7.047458171,,Tuescha-9,GER,Tuebingen - Schaal,48.53,9.05,,1999-12-30 0:00:00,,,,
100000,71.6666666667,1.5275252317,48.25,2.753785274,,Wil-1,LTU,Wil,54.6833,25.3167,Magnus Nordborg,,CS78702,,,
10001,68.75,4.1932485418,49.5,3.31662479,MPI,TueV-13,GER,Tubingen - Volksbank,48.52,9.05,Kirsten Bomblies,1999-12-30 0:00:00,CS76407,western_europe,,blu_circle
10002,61,7.3484692283,42.5,0.577350269,MPI,TueWal-2,GER,Tubingen - Wanne,48.53,9.04,Kirsten Bomblies,1999-12-30 0:00:00,CS76405,western_europe,,blu_circle
10003,81.25,8.0570879768,57.66666667,1.154700538,,WalHaesB4,GER,Walddorf-Haslach,48.6,9.19,,1999-12-30 0:00:00,,,,
10004,81.75,3.2015621187,79,9,MPI,Bolin-1,ROU,,44.46,25.74,,1999-12-30 0:00:00,CS76373,italy_balkan_caucasus,,wht_circle
10005,76.6666666667,4.0414518843,67.25,6.34428877,MPI,Copac-1,ROU,,46.11,21.95,,1999-12-30 0:00:00,CS76420,central_europe,,ylw_circle
10006,113.5,10.4721853816,131.5,3.535533906,MPI,Kastel-1,UKR,Kastel Mountain,44.6419,34.3814,James Beck,1999-12-30 0:00:00,CS76395,italy_balkan_caucasus,,wht_circle
10007,75,8.8881944173,61.25,5.909032634,,Koch-1,UKR,Kocherov,50.3553,29.3244,James Beck,1999-12-30 0:00:00,,,,
10008,79.25,7.1355915429,73,3,MPI,Sij-1,UZB,Sijjak,41.45,70.05,Heike Schmuths,1999-12-30 0:00:00,CS76379,asia,,purple_circle
10009,80.75,10.3400515795,77.75,3.5,MPI,Sij-2,UZB,,41.45,70.05,,12/30/99,CS76380,asia,,purple_circle
10010,85,7.0710678119,75.25,5.439056291,MPI,Sij-4,UZB,,41.45,70.05,,12/30/99,CS76381,asia,,purple_circle
10011,71,2.4494897428,65.25,6.130524719,MPI,Yeg-1,ARM,Yeghegis,39.8692,45.3622,James Beck,1999-12-30 0:00:00,CS76394,asia,,purple_circle
10012,113.5,10.7238052948,105.6666667,7.767453465,MPI,Istisu-1,AZE,Istisu,38.9786,48.5594,James Beck,1999-12-30 0:00:00,CS76389,italy_balkan_caucasus,,wht_circle
10013,92.25,3.3040379336,100,15.62049935,MPI,Lerik1-3,AZE,Lerik,38.7406,48.6131,James Beck,,CS76388,italy_balkan_caucasus,,wht_circle
10014,96.75,8.5,132,4.242640687,MPI,Xan-1,AZE,Xanbulan,38.6536,48.7992,James Beck,1999-12-30 0:00:00,CS76387,italy_balkan_caucasus,,wht_circle
10015,69.75,7.5443135318,51.25,6.898067362,MPI,Ara-1,AFG,,37.29,71.3,,1999-12-30 0:00:00,CS76382,asia,,purple_circle
10016,89,5.2915026221,72,12.0277457,,Del-10,SRV,Deliblato,44.9444,21.1828,James Beck,1999-12-30 0:00:00,,,,
10017,87.5,3,76.5,9.88264472,MPI,Petro-1,SRB,,44.34,21.46,,1999-12-30 0:00:00,CS76370,central_europe,,ylw_circle
10018,90,4.2426406871,81.33333333,4.509249753,MPI,Dobra-1,SRB,,44.84,20.16,,12/30/99,CS76369,central_europe,,ylw_circle
10019,60.5,6.8556546004,42,1.154700538,,KZ10,KAZ,,48.67,54.93,,1999-12-30 0:00:00,,,,
1002,102.75,6.3966136875,86.25,1.707825128,GMI,Ale-Stenar-64-24,SWE,Ales Stenar,55.3833,14.05,Jon Ågren,2001-01-01 00:00:00,CS76654,south_sweden,,red_circle
10020,72.5,4.1231056256,48,1.414213562,MPI,Jl-2,CZE,,49.17,16.5,,1999-12-30 0:00:00,CS76956,central_europe,,ylw_circle
10021,59.5,8.8128693776,44,10.03327796,,Hl-0,GER,Holtensen,52.1444,9.37827,Albert Kranz,1999-12-30 0:00:00,,,,
10022,73.5,8.8506120316,45.25,2.62995564,MPI,Uk-3,GER,Umkirch,48.0333,7.7667,Albert Kranz,1999-12-30 0:00:00,CS78777,admixed,,forbidden
10023,96.25,6.2383224241,90,4.242640687,MPI,Strand-1,,,,,,12/30/99,CS77284,admixed,,forbidden
10024,64,1.8257418584,43.25,1.5,,Tnz-1,TZA,,,,,12/30/99,,,,
