id	FT10_mean	FT10_sd	FT16_mean	FT16_sd
10000	61	4.082482905	54.5	7.047458171
100000	71.66666667	1.527525232	48.25	2.753785274
10001	68.75	4.193248542	49.5	3.31662479
10002	61	7.348469228	42.5	0.577350269
10003	81.25	8.057087977	57.66666667	1.154700538
10004	81.75	3.201562119	79	9
10005	76.66666667	4.041451884	67.25	6.34428877
10006	113.5	10.47218538	131.5	3.535533906
10007	75	8.888194417	61.25	5.909032634
10008	79.25	7.135591543	73	3
10009	80.75	10.34005158	77.75	3.5
10010	85	7.071067812	75.25	5.439056291
10011	71	2.449489743	65.25	6.130524719
10012	113.5	10.72380529	105.6666667	7.767453465
10013	92.25	3.304037934	100	15.62049935
10014	96.75	8.5	132	4.242640687
10015	69.75	7.544313532	51.25	6.898067362
10016	89	5.291502622	72	12.0277457
10017	87.5	3	76.5	9.88264472
10018	90	4.242640687	81.33333333	4.509249753
10019	60.5	6.8556546	42	1.154700538
1002	102.75	6.396613688	86.25	1.707825128
10020	72.5	4.123105626	48	1.414213562
10021	59.5	8.812869378	44	10.03327796
10022	73.5	8.850612032	45.25	2.62995564
10023	96.25	6.238322424	90	4.242640687
10024	64	1.825741858	43.25	1.5
10025	62.25	3.304037934	45.5	1.290994449
10026	63	4.966554809	49.5	1.290994449
1061	97.75	5.5	94.75	2.5
1062	94	7.527726527	68.25	2.5
1063	84	3	64.25	2.217355783
1066	128	11.28420725	NA	NA
1074	98.25	6.020797289	90.75	26.00480725
108	70	1.732050808	52.25	6.5
1137	111.25	4.5	107.6666667	18.58314649
1158	98.75	4.573474245	88	6.218252702
1254	92	1.732050808	106	16.64331698
1257	94.66666667	12.58305739	93.25	10.65754819
1317	104.25	5.251983752	102	3
1318	89.75	10.34005158	123	19.5192213
1363	104.75	13.04798835	96	12.88409873
1367	101.75	4.991659711	88.75	3.593976442
139	68.75	9.912113801	52.75	5.057996968
1435	72.25	2.872281323	45.66666667	0.577350269
1552	104	5.65685425	115.3333333	17.61628035
1585	103.5	6.8556546	103.25	13.1497782
159	72	0.816496581	56.75	1.892969449
1829	94.75	2.753785274	99	NA
1853	71.5	2.081666	69.33333333	5.131601439
1872	80.25	7.088723439	82.5	5.066228051
1890	101	22.06052281	75.75	6.800735254
1925	89.5	5.972157622	89.5	13
1954	93	2.708012802	101	4.242640687
2016	77.5	7.187952884	69.75	12.89379696
2171	79	1.632993162	82.5	10.78579312
2202	97.75	6.396613688	96.5	5.446711546
2276	83	6.582805886	84.25	6.184658438
2278	79.25	4.34932945	85	11.53256259
2317	77	3.559026084	53.5	6.8556546
265	63.5	5.446711546	47.25	5.377421935
350	68.5	3.415650255	51.5	4.041451884
351	69.25	3.201562119	65.33333333	2.516611478
403	63.5	6.806859286	54.25	2.753785274
410	76	5.291502622	65.25	4.5
424	83.25	3.304037934	68.25	7.804912983
428	75.75	8.139410298	59	6.244997998
430	92.33333333	2.886751346	55	2.309401077
4779	68.66666667	3.055050463	50.25	2.5
4807	79.75	6.898067362	87.5	20.20725942
4826	60	1.414213562	51	3
4884	70.25	6.652067348	49.5	1
4900	71	3.559026084	50.25	0.957427108
4931	62.75	1.892969449	48	2.449489743
4958	91.25	4.645786622	100.25	5.123475383
5023	61	1.632993162	43.75	0.957427108
5104	60	2.943920289	40.75	7.5
5151	81.75	8.180260795	73.66666667	4.932882862
5165	86.5	8.582928793	81.75	2.753785274
5210	96	6.244997998	78	2.943920289
5236	58.5	3.696845502	43.5	2.380476143
5253	62.75	3.774917218	38	2.160246899
5276	74.5	5.322906474	49.75	2.62995564
5349	92	5.416025603	97.33333333	7.234178138
5353	71	5.354126135	62.5	9.110433579
5470	154.6666667	30.43572462	NA	NA
5486	60.5	3	37.5	1.732050808
5506	125	10.29563014	132	NA
5535	81.5	5.802298395	70.75	2.62995564
5577	66.75	3.095695937	51	1.154700538
5644	60.75	5.315072906	46.25	6.130524719
5720	92	6.377042157	63.33333333	2.081665999
5726	74	3.16227766	48	2.160246899
5741	97.25	4.031128874	88.5	13.3041347
5748	60.75	2.753785274	41.75	2.986078811
5757	87.75	1.892969449	66.66666667	4.041451884
5768	96.25	5.123475383	85	7
5772	66.75	2.62995564	49	2
5778	66.25	5.560275773	42.5	1.290994449
5779	90.5	4.434711565	67	3.464101615
5784	101.75	5.909032634	69.25	4.031128874
5800	61.75	4.11298756	39	2
5811	72	6.683312552	46	2.449489743
5818	65.75	2.872281323	40.33333333	1.527525232
5822	112.75	7.135591543	111	7.071067812
5829	66.75	11.72959221	53.66666667	2.081665999
5830	97.75	1.707825128	75.33333333	6.658328118
5831	99.5	6.350852961	93	8.679477711
5832	88.5	4.509249753	87.33333333	3.511884584
5835	73	5.715476067	43.5	5.066228051
5837	80.5	10.78579312	55.25	1.5
5856	119	18.38477631	NA	NA
5865	109.75	8.057087977	101	3
5867	130.5	1	NA	NA
5874	78	4.966554809	69.25	6.652067348
5890	78.25	5.6199051	55.25	3.201562119
5893	73.75	6.020797289	64.25	4.11298756
5907	66.5	3.872983346	48.5	3.109126351
5921	82.5	6.557438524	55.75	1.707825128
5950	81.25	4.272001873	65.5	4.725815626
5964	72.5	3.785938897	56.5	2.645751311
5984	66.75	3.593976442	41.75	2.217355783
5993	82.5	9.746794345	64.75	1.707825128
6008	73.5	2.380476143	43	0.816496581
6009	103	11.63328558	113.5	0.707106781
6011	97.33333333	5.131601439	112.5	12.02081528
6012	102	9.309493363	125	18.38477631
6013	93.75	2.217355783	93	8.082903769
6016	87.33333333	5.686240703	83.5	0.707106781
6017	96.5	2.121320344	104	NA
6019	103.5	4.509249753	NA	NA
6020	94	4.358898944	87.25	5.251983752
6021	94.25	3.403429643	87	7.257180352
6023	93.75	6.652067348	89.25	7.889866919
6024	106.75	5.123475383	116	12.83225104
6025	129.25	20.40220576	NA	NA
6030	107.25	7.632168761	129	7.071067812
6034	102.75	12.81600562	80.5	3.535533906
6035	83	2.943920289	73.75	3.304037934
6036	94.25	8.261355821	86.33333333	6.806859286
6038	91.25	6.652067348	77.25	8.770214745
6039	91	23.36664289	62	7.071067812
6040	93.25	4.573474245	82.5	7.778174593
6041	78.75	9.178779875	51.5	1.732050808
6042	63.5	3.535533906	43	2.309401077
6043	110	5.567764363	130.6666667	6.506407099
6046	117.25	4.924428901	117	NA
6064	103.6666667	7.371114796	129.5	13.43502884
6069	107.25	8.539125638	139	NA
6070	106.75	7.365459931	119.3333333	3.214550254
6071	120.75	6.652067348	139.5	3.535533906
6073	102.25	3.593976442	96.5	3.31662479
6074	101	1.414213562	85.75	12.91962332
6076	121.5	1.732050808	110.5	19.12241268
6085	124.25	16.33758448	128	15.55634919
6086	100.5	5.196152423	100.75	4.573474245
6088	107.6666667	5.131601439	128	NA
6090	94.75	6.5	105	4.582575695
6092	103	3.829708431	89.5	4.434711565
6094	101.75	5.678908346	92.66666667	34.78984526
6097	114.5	11.26942767	94	7.874007874
6098	112.25	6.130524719	105	6.480740698
6099	117	5.416025603	113.6666667	17.0098011
6100	102	8.602325267	108.3333333	13.50308607
6102	122.3333333	12.85820101	103.5	19.09188309
6104	100	4.082482905	109.5	10.66145706
6105	97.75	4.991659711	87.66666667	6.350852961
6106	102	NA	94.75	6.5
6107	119	5.291502622	105.25	12.33896268
6108	78.75	3.304037934	52.75	4.272001873
6109	100.75	2.62995564	99	15.71623365
6111	111.75	9.673847907	93.66666667	4.041451884
6112	94.5	3.31662479	76.75	0.957427108
6113	132.6666667	13.0128142	NA	NA
6114	97	2.943920289	92	7.874007874
6115	97.5	14.93318452	74.75	4.924428901
6118	98.25	2.362907813	99.25	7.544313532
6122	101.5	2.886751346	90	4.966554809
6124	129.5	7.047458171	106	1
6125	106.25	5.560275773	100	10.48808848
6126	103.25	6.396613688	89	1.732050808
6127	124	11.94431524	132.6666667	11.37248141
6128	122.3333333	9.073771726	113	12.489996
6129	109.75	7.135591543	131	19.79898987
6131	119	10.58300524	137	NA
6132	106	3.16227766	102.5	3.785938897
6133	111.75	12.47330483	91.75	2.986078811
6134	110	3.741657387	100.3333333	4.932882862
6136	96.5	2.380476143	84.5	3.415650255
6137	92.5	4.358898944	87.75	5.251983752
6138	97	5.477225575	90.75	5.909032634
6140	98.75	2.872281323	103.25	15.37042615
6142	98.5	3.696845502	107.5	11.26942767
6145	116	8.164965809	111.5	16.26345597
6148	105	3.464101615	105.6666667	4.932882862
6149	106	1.825741858	99	9.933109617
6150	111.3333333	3.785938897	101.6666667	6.429100507
6151	99.5	8.698658901	103.3333333	5.859465277
6153	149.25	30.28063187	116	NA
6154	149.3333333	7.371114796	NA	NA
6163	157.5	13.43502884	NA	NA
6166	144	16.30950643	NA	NA
6169	116	5.567764363	113.5	4.949747468
6171	103.25	1.892969449	108	NA
6172	110.5	21.76388446	114	NA
6173	91.75	5.5	101	2.645751311
6174	100	6.557438524	128	0
6177	99	8.164965809	105.5	19.09188309
6180	71	2.1602469	41.25	2.217355783
6184	93.66666667	5.033222957	103.6666667	5.686240703
6188	73.25	8.057087977	53.5	2.081665999
6189	74	4.966554809	56.66666667	3.785938897
6191	78.33333333	7.637626158	58.5	1.732050808
6192	95	2.449489743	63	4
6193	83	8.205689083	54.5	4.041451884
6194	110.5	5.446711546	91.5	6.244997998
6195	83.75	4.11298756	59	4.69041576
6197	75.25	3.201562119	59	5.887840578
6198	88.25	8.421203398	92.5	20.50609665
6201	94.25	4.34932945	103	5.597618541
6202	109.75	7.847504911	128	8.185352772
6203	108	5.944184833	119.6666667	23.18045153
6209	94	2.828427125	107	NA
6210	100.75	6.60176744	125	12.72792206
6216	134.5	5.066228051	NA	NA
6217	111.25	3.095695937	127	NA
6218	124	11.40175425	137	NA
6220	103	7.16472842	117.3333333	0.577350269
6221	108	6.164414003	110	NA
6231	109.25	7.365459931	NA	NA
6235	119.5	2.121320344	NA	NA
6237	106	0	109	4
6238	104.5	9.036961141	124	NA
6240	98.25	6.849574196	125.6666667	10.40833
6241	96.25	4.787135539	117.5	0.707106781
6242	83.66666667	1.527525232	86.5	24.44722206
6243	66.75	4.5	43.75	3.095695937
6244	90.75	6.994045086	108.25	6.60176744
6252	122.75	13.62289739	NA	NA
6255	134	4	NA	NA
6258	119.25	7.632168761	126.6666667	10.5039675
6268	115	5.416025603	128.6666667	7.234178138
6276	131	11.78982612	143	NA
6284	117.5	1.914854216	131.5	3.535533906
6288	87.5	5.196152423	98	3.559026084
6296	75	7.023769169	47	1.414213562
630	73.5	10.34408043	58.75	9.53502316
6390	71.75	4.34932945	61.33333333	5.507570547
6396	82.75	8.655441448	70.75	3.685557398
6413	104.25	5.123475383	95	5.416025603
6424	77	3.829708431	53	0.816496581
6434	62.75	6.652067348	40	1.414213562
6445	67	5.944184833	50	3.741657387
6680	99.25	4.716990566	92.33333333	13.20353488
6709	69	11.69045194	49.5	6.806859286
6744	63.25	6.800735254	47.25	2.061552813
6830	69.75	4.645786622	41.25	1.258305739
6897	68	4.69041576	66.25	19.83893478
6898	57.5	4.434711565	34.25	1.892969449
