mean DTF1	sd	count	mean DTF2	sd	count	mean DTF3	sd	count	mean RL	sd	count	mean CL	sd	count	Ecotype_id
43.75	2.986078811	4	50	2.449489743	4	55	2.309401077	4	36	4.242640687	4	5.25	1.258305739	4	430
28.75	2.62995564	4	34	4.163331999	4	39	2.943920289	4	12	3.651483717	4	3	0.816496581	4	763
29.66666667	1.527525232	3	36.33333333	2.309401077	3	36.66666667	2.081665999	3	10	1	3	2	1	3	765
29.5	2.380476143	4	36.25	2.217355783	4	41.75	2.986078811	4	14.75	2.872281323	4	3.25	1.258305739	4	766
67	4.966554809	4	71.25	4.573474245	4	78.25	4.991659711	4	28	8.041558721	4	10.5	3.696845502	4	768
60.75	11.32475165	4	66	10.98483804	4	72.25	12.81600562	4	33.5	1.914854216	4	8.333333333	1.527525232	3	770
33.25	2.986078811	4	38.5	3.415650255	4	43.5	2.645751311	4	15	2.943920289	4	3.75	0.957427108	4	772
43.25	1.258305739	4	50	1.632993162	4	55.25	1.5	4	33.75	2.217355783	4	8	0	4	5837
81.33333333	15.011107	3	86	14	3	92.33333333	13.20353488	3	72.66666667	4.932882862	3	16	1.732050808	3	6680
64	6.218252702	4	69.5	5.446711546	4	75.5	5.066228051	4	41.5	4.654746681	4	6.5	1.290994449	4	6925
53.5	7.937253933	4	57.75	8.180260795	4	64.25	6.751543034	4	31.25	2.872281323	4	6.75	1.5	4	6963
30.75	3.403429643	4	36	3.741657387	4	42	4.082482905	4	17.75	2.62995564	4	5.25	0.957427108	4	6967
82.66666667	5.507570547	3	87	5.291502622	3	91.33333333	4.509249753	3	48	10.58300524	3	10.66666667	2.081665999	3	6968
40	1.825741858	4	44.5	1.290994449	4	50.25	2.362907813	4	34.75	18.20942979	4	7.5	0.577350269	4	6970
37.75	2.986078811	4	41.75	2.217355783	4	47.25	2.62995564	4	25.25	2.217355783	4	7.5	1.290994449	4	6975
24.75	0.5	4	29.5	1	4	36	0.816496581	4	12.5	1.290994449	4	5	0.816496581	4	6979
35.25	3.201562119	4	42	4.830458915	4	44	4.242640687	4	19.25	2.061552813	4	3.5	0.577350269	4	6982
37.75	3.304037934	4	42.25	2.061552813	4	47.75	3.201562119	4	27.5	4.725815626	4	6.75	1.258305739	4	6984
33.75	3.593976442	4	40	5.354126135	4	43.75	4.193248542	4	24.25	6.849574196	4	5.75	0.957427108	4	6986
35.5	2.886751346	4	40.25	2.061552813	4	47.75	1.707825128	4	21.5	2.380476143	4	8	0.816496581	4	6987
51.25	4.573474245	4	54.75	3.947573094	4	61	5.773502692	4	34.5	3	4	6.5	1.290994449	4	6989
48.75	3.304037934	4	54.75	4.5	4	60.25	5.057996968	4	41.5	9.949874371	4	11	2.943920289	4	6990
42	4.69041576	4	48	5.099019514	4	54.25	4.991659711	4	27.25	8.139410298	4	6.75	2.061552813	4	6992
61.33333333	7.371114796	3	67.33333333	8.96288644	3	80	NA	1	48.33333333	10.26320288	3	13.5	2.121320344	2	6994
43	5.354126135	4	48.5	4.434711565	4	56	5.416025603	4	42	2.160246899	4	8.75	0.957427108	4	6997
41.25	0.957427108	4	46.25	1.707825128	4	54	2.828427125	4	36.25	1.5	4	13	0	4	7000
50	3.559026084	4	54	2.160246899	4	59	1.825741858	4	48.5	2.380476143	4	7.75	0.957427108	4	7002
38.5	4.434711565	4	45	4.163331999	4	51	4.69041576	4	31.25	4.34932945	4	7.333333333	1.527525232	3	7003
70.5	6.137317547	4	75.25	5.315072906	4	95	28.78657094	4	57.5	6.952217872	4	14	1.414213562	4	7008
42.25	3.304037934	4	45.25	3.304037934	4	54.25	3.403429643	4	36.25	2.061552813	4	10.75	1.258305739	4	7010
28	2.160246899	4	35.5	1.732050808	4	38.75	1.707825128	4	16.75	1.707825128	4	5.5	0.577350269	4	7013
69.33333333	6.658328118	3	74	6.244997998	3	74	2.645751311	3	60.33333333	4.041451884	3	11.66666667	2.081665999	3	7014
45.75	5.377421935	4	50.75	5.251983752	4	52.66666667	3.055050463	3	40	6.377042157	4	8.5	1.290994449	4	7025
34.75	3.774917218	4	41	3.741657387	4	45.5	3.872983346	4	25	3.16227766	4	6	0.816496581	4	7026
26.66666667	1.154700538	3	34.25	3.862210075	4	40.25	6.652067348	4	19.5	11.03026141	4	5.25	0.957427108	4	7028
36.25	3.095695937	4	40.75	2.217355783	4	47.25	1.707825128	4	20.25	3.403429643	4	7.5	1.290994449	4	7031
53.75	1.5	4	57.75	0.957427108	4	64	0	4	36	2.581988897	4	8.5	0.577350269	4	7061
28.5	1.290994449	4	33.25	0.5	4	38.25	0.957427108	4	16.75	0.5	4	4	0.816496581	4	7062
54	7	3	59.33333333	7.371114796	3	66.66666667	8.386497084	3	43.66666667	4.932882862	3	5.5	0.707106781	2	7064
45.5	7.85281266	4	51.5	6.658328118	4	56	8.366600265	4	39.25	4.193248542	4	9.25	1.258305739	4	7068
35.75	4.193248542	4	40.75	3.403429643	4	45	4.546060566	4	26.75	3.403429643	4	4.5	0.577350269	4	7071
52.75	5.909032634	4	57	6.055300708	4	62	4.966554809	4	49.5	7.681145748	4	7.5	0.577350269	4	7072
127	2.828427125	2	134.5	0.707106781	2	NA	NA	0	NA	NA	0	NA	NA	0	7075
32.66666667	3.785938897	3	37.66666667	2.081665999	3	44.33333333	2.081665999	3	22	1.732050808	3	5.666666667	0.577350269	3	7077
47	4.163331999	4	51.5	2.645751311	4	54.25	3.774917218	4	50.5	9.327379053	4	7.5	1.732050808	4	7092
28.5	1.290994449	4	36	0.816496581	4	40.25	0.957427108	4	17.25	0.5	4	5.5	0.577350269	4	7096
57.5	2.121320344	2	61	1.414213562	2	71	5.656854249	2	59	1.414213562	2	12.5	0.707106781	2	7102
26.25	0.5	4	32.25	0.957427108	4	36.75	0.5	4	14	0	4	3.75	0.5	4	7103
40.5	2.645751311	4	45.75	3.095695937	4	50.75	3.862210075	4	28.75	2.217355783	4	7.75	0.5	4	7107
34.25	5.315072906	4	42	4.69041576	4	45.75	4.193248542	4	24.25	1.5	4	5.25	0.5	4	7109
26	0.816496581	4	31.25	1.258305739	4	36.5	2.081665999	4	13.75	0.5	4	4	1.154700538	4	7117
31.25	0.5	4	36.25	0.957427108	4	41	1.414213562	4	20	2.160246899	4	7.25	1.5	4	7119
31	1.414213562	4	37	0.816496581	4	42.75	2.217355783	4	19.75	1.892969449	4	6.25	1.258305739	4	7120
76.25	6.075908711	4	82.75	6.075908711	4	97.25	5.795112884	4	54.66666667	0.577350269	3	17.75	2.061552813	4	7126
36.25	3.304037934	4	41.75	3.201562119	4	45.5	2.886751346	4	26.75	6.075908711	4	5.25	0.957427108	4	7127
62.75	5.560275773	4	69.5	4.725815626	4	78.25	5.5	4	57.75	5.123475383	4	14.75	1.5	4	7130
30.75	1.258305739	4	39	1.825741858	4	46.25	1.5	4	19.25	2.217355783	4	6.25	1.5	4	7133
60.5	12.02081528	2	66.5	9.192388155	2	68.5	12.02081528	2	45	11.3137085	2	7	1.414213562	2	7138
31	0.816496581	4	38.25	1.5	4	44.5	0.577350269	4	20	0.816496581	4	6.5	1.290994449	4	7143
39	3	3	45.33333333	2.081665999	3	52.66666667	4.163331999	3	31.66666667	2.081665999	3	8.666666667	1.527525232	3	7147
56	5.291502622	4	59.75	5.439056291	4	66	6.683312552	4	41.5	1.732050808	4	8	0	4	7148
57	4.546060566	4	59.75	5.123475383	4	66.5	4.509249753	4	44.75	6.396613687	4	8.25	3.774917218	4	7160
29	1.732050808	3	35.33333333	1.154700538	3	39.33333333	1.527525232	3	15.66666667	0.577350269	3	5	0	3	7161
32.5	1.290994449	4	36.5	1.290994449	4	42.75	1.707825128	4	17.5	1.914854216	4	7.25	1.5	4	7162
30.5	1.732050808	4	38	2.160246899	4	44	2.943920289	4	19.5	2.380476143	4	5	0.816496581	4	7163
33	1.414213562	4	37.75	1.707825128	4	43.5	2.380476143	4	21.25	2.872281323	4	6.5	0.577350269	4	7165
37.5	1	4	45.5	2.081665999	4	50.75	3.304037934	4	26.25	3.304037934	4	6.75	0.5	4	7166
65.5	14.05939781	4	72.75	13.40087062	4	78.25	12.97112177	4	51.75	10.78192933	4	19.75	4.11298756	4	7169
33.75	0.957427108	4	40.25	2.986078811	4	45.25	2.753785274	4	17.75	0.957427108	4	5.75	1.5	4	7177
65	2	3	70	2	3	97	35.59494346	3	50.66666667	2.516611478	3	13.66666667	2.309401077	3	7181
32.33333333	2.309401077	3	36.66666667	1.527525232	3	42.33333333	1.527525232	3	21.66666667	2.081665999	3	6.666666667	2.081665999	3	7182
29.5	1.914854216	4	35.25	1.707825128	4	42	1.825741858	4	18.5	1.290994449	4	7.25	0.957427108	4	7192
27	1.825741858	4	33.5	1.290994449	4	37	1.825741858	4	14.5	1.290994449	4	3.25	0.5	4	7199
27.75	2.362907813	4	35	3.366501646	4	40.75	6.238322424	4	15.25	2.217355783	4	4	0.816496581	4	7202
33.25	2.217355783	4	39.25	2.061552813	4	44.5	2.516611478	4	26.5	3.31662479	4	7.25	2.061552813	4	7203
40	2.160246899	4	45.5	1.290994449	4	49.75	1.258305739	4	25.25	6.34428877	4	6.25	2.362907813	4	7207
34.75	2.753785274	4	40.75	3.403429643	4	46	3.829708431	4	25.25	2.217355783	4	7	1	3	7208
33.75	1.707825128	4	41.5	2.380476143	4	45.25	2.061552813	4	17.25	4.573474245	4	5.25	0.957427108	4	7209
26.25	0.957427108	4	32.25	0.957427108	4	38	1.414213562	4	15.25	2.217355783	4	5.25	0.957427108	4	7217
38.75	1.707825128	4	42.75	2.061552813	4	51.25	1.707825128	4	44	28.01190223	4	11.33333333	1.527525232	3	7218
42	3.366501646	4	51.5	3.109126351	4	54.75	5.057996968	4	31.5	0.577350269	4	7.25	0.5	4	7223
37.75	1.258305739	4	41.75	1.5	4	47.5	2.081665999	4	32.5	3.415650255	4	8.25	1.258305739	4	7236
34	1.825741858	4	39.5	1.732050808	4	46	1.825741858	4	23.5	2.645751311	4	8.25	0.957427108	4	7244
54.33333333	3.214550254	3	57.66666667	4.041451884	3	66.66666667	5.507570547	3	43.33333333	5.033222957	3	9.666666667	2.081665999	3	7248
26.5	1.290994449	4	33.75	2.5	4	37.75	1.892969449	4	11	3.265986324	4	3.75	0.5	4	7250
87	2.645751311	3	92.33333333	2.081665999	3	96.66666667	3.511884584	3	72	2.828427125	2	11.33333333	2.516611478	3	7252
39.33333333	11.37248141	3	44.66666667	10.26320288	3	47.33333333	10.40833	3	17.66666667	2.309401077	3	5.333333333	3.214550254	3	7255
33	3.559026084	4	39	2	4	43.5	2.380476143	4	23	2.828427125	4	7.25	1.258305739	4	7258
31.33333333	1.527525232	3	37.66666667	0.577350269	3	41.66666667	0.577350269	3	22.66666667	0.577350269	3	6.333333333	0.577350269	3	7263
31.75	0.957427108	4	39.5	1.290994449	4	43.66666667	1.527525232	3	17.33333333	2.081665999	3	5.333333333	0.577350269	3	7268
38	2.160246899	4	42.5	2.380476143	4	49.25	2.753785274	4	22.25	3.685557398	4	8	0.816496581	4	7276
36.5	1.732050808	4	41.5	1.732050808	4	46.5	1.914854216	4	30.25	0.5	4	8	2.828427125	2	7280
28.5	1.290994449	4	34	1.154700538	4	37.5	1.290994449	4	17.75	1.707825128	4	4.75	0.5	4	7282
35.25	0.957427108	4	41	1.154700538	4	48.25	2.061552813	4	28.25	1.5	4	7.666666667	0.577350269	3	7287
42.5	2.645751311	4	48.5	2.380476143	4	53.25	2.217355783	4	36.75	1.258305739	4	8	0.816496581	4	7298
38.25	1.707825128	4	42.25	2.217355783	4	51.5	1.732050808	4	23.75	1.707825128	4	8.5	1	4	7305
36.75	3.095695937	4	43.5	1.290994449	4	49.75	1.707825128	4	24.5	1.732050808	4	5.333333333	0.577350269	3	7306
30.25	2.217355783	4	36.5	1.732050808	4	42.25	2.217355783	4	15.5	2.380476143	4	5.5	0.577350269	4	7314
62.33333333	7.505553499	3	68.33333333	7.023769169	3	74	5	3	51.33333333	7.637626158	3	15	1	3	7316
41.5	4.203173404	4	46.75	3.862210075	4	52.75	4.272001873	4	35.5	4.932882862	4	11.5	4.041451884	4	7319
63.75	3.947573094	4	69	3.16227766	4	74.5	3.696845502	4	36.75	3.304037934	4	8.5	1	4	7320
37	0.816496581	4	40	1.154700538	4	49	1.825741858	4	20.25	1.892969449	4	5.75	1.258305739	4	7330
32.75	6.238322424	4	39.5	4.725815626	4	43.5	4.795831523	4	22.25	5.251983752	4	6.5	1.290994449	4	7332
29	1.414213562	4	35.5	1.732050808	4	39.75	1.892969449	4	17.25	1.707825128	4	5	0.816496581	4	7333
34.5	1	4	37.75	0.957427108	4	47.5	3.696845502	4	27.75	2.986078811	4	7.5	1.290994449	4	7337
56.25	12.94539815	4	61.5	12.4498996	4	65	11.46007563	4	50	16.69331203	4	10.5	3.109126351	4	7342
39.5	1.290994449	4	43	0.816496581	4	51.25	1.707825128	4	36.5	4.434711565	4	10.75	2.362907813	4	7343
36.66666667	2.516611478	3	42	1	3	47.66666667	2.081665999	3	26.66666667	1.154700538	3	7	0	2	7344
39	0.816496581	4	43.25	1.5	4	47	1.154700538	4	34.5	1.290994449	4	7	0.816496581	4	7347
41.5	4.434711565	4	47	4.69041576	4	52.75	4.787135539	4	35.75	3.862210075	4	6.666666667	1.527525232	3	7349
39.33333333	2.516611478	3	44.66666667	3.511884584	3	52	3.605551275	3	35	7	3	7	0	2	7350
62.25	6.551081336	4	68.75	5.560275773	4	70.5	5.916079783	4	53	9.695359715	4	8.5	1.732050808	4	7353
79.5	0.707106781	2	83.5	0.707106781	2	93	2.828427125	2	71	5.656854249	2	16	1.414213562	2	7354
68.5	1	4	74.5	1.290994449	4	80.75	3.862210075	4	61	7.257180352	4	18	1	3	7355
53.33333333	4.932882862	3	57.33333333	4.932882862	3	64.33333333	3.214550254	3	44.75	11.41271221	4	10.66666667	1.527525232	3	7356
36.5	8.426149773	4	49.25	7.889866919	4	54.5	9.036961141	4	32.5	4.123105626	4	10	1.414213562	4	7372
42.5	2.516611478	4	45.5	2.645751311	4	54.25	2.872281323	4	36.75	1.707825128	4	9.75	1.5	4	7375
