class	geometry
9	<Point><coordinates>3.93333,47.35</coordinates></Point>
9	<Point><coordinates>-1.16667,44.65</coordinates></Point>
2	<Point><coordinates>16.2667,49.3667</coordinates></Point>
7	<Point><coordinates>74.3667,42.3</coordinates></Point>
7	<Point><coordinates>73.4,42.1833</coordinates></Point>
7	<Point><coordinates>73.6333,42.5833</coordinates></Point>
7	<Point><coordinates>76.35,42.8</coordinates></Point>
7	<Point><coordinates>72.4667,37.35</coordinates></Point>
9	<Point><coordinates>-84.4639,37.9169</coordinates></Point>
9	<Point><coordinates>-71.4378,41.8972</coordinates></Point>
1	<Point><coordinates>-71.1445,42.3634</coordinates></Point>
11	<Point><coordinates>18.3667,63.0833</coordinates></Point>
7	<Point><coordinates>-86.1859,43.5139</coordinates></Point>
1	<Point><coordinates>-86.1739,43.5187</coordinates></Point>
1	<Point><coordinates>-86.514,42.03</coordinates></Point>
1	<Point><coordinates>-4.5,50.5</coordinates></Point>
1	<Point><coordinates>-1.7,52.2</coordinates></Point>
9	<Point><coordinates>0.4,51.3</coordinates></Point>
9	<Point><coordinates>0.4,51.1</coordinates></Point>
1	<Point><coordinates>-3,54.5</coordinates></Point>
9	<Point><coordinates>-3.3,54.6</coordinates></Point>
1	<Point><coordinates>-3.4,54.7</coordinates></Point>
9	<Point><coordinates>-4.1,56.6</coordinates></Point>
9	<Point><coordinates>-1.5,54.1</coordinates></Point>
9	<Point><coordinates>-2.3,54.1</coordinates></Point>
9	<Point><coordinates>-3.1,51</coordinates></Point>
9	<Point><coordinates>-5.2,56.4</coordinates></Point>
9	<Point><coordinates>-5.5,57.4</coordinates></Point>
9	<Point><coordinates>-3.1,52.9</coordinates></Point>
11	<Point><coordinates>17.4914,63.0167</coordinates></Point>
2	<Point><coordinates>16.2,49.1</coordinates></Point>
11	<Point><coordinates>17.7339,62.6437</coordinates></Point>
6	<Point><coordinates>13.4,55.66</coordinates></Point>
2	<Point><coordinates>13.9,56.09</coordinates></Point>
3	<Point><coordinates>15.8155,56.1481</coordinates></Point>
3	<Point><coordinates>16.1408,56.4573</coordinates></Point>
3	<Point><coordinates>13.2145,55.7097</coordinates></Point>
3	<Point><coordinates>13.2197,55.6525</coordinates></Point>
3	<Point><coordinates>13.2233,55.6514</coordinates></Point>
3	<Point><coordinates>13.2147,55.6494</coordinates></Point>
3	<Point><coordinates>13.2264,55.6481</coordinates></Point>
3	<Point><coordinates>13.2178,55.6561</coordinates></Point>
3	<Point><coordinates>13.2386,55.6575</coordinates></Point>
3	<Point><coordinates>13.1211,55.7967</coordinates></Point>
3	<Point><coordinates>13.1186,55.7931</coordinates></Point>
3	<Point><coordinates>13.1222,55.7942</coordinates></Point>
1	<Point><coordinates>13.1206,55.7989</coordinates></Point>
3	<Point><coordinates>13.1233,55.7936</coordinates></Point>
3	<Point><coordinates>13.1219,55.7989</coordinates></Point>
3	<Point><coordinates>13.1044,55.7967</coordinates></Point>
3	<Point><coordinates>13.1342,55.8097</coordinates></Point>
3	<Point><coordinates>13.1367,55.8</coordinates></Point>
6	<Point><coordinates>13.3075,55.8364</coordinates></Point>
6	<Point><coordinates>13.3106,55.8403</coordinates></Point>
3	<Point><coordinates>13.3047,55.8411</coordinates></Point>
3	<Point><coordinates>13.2881,55.8397</coordinates></Point>
6	<Point><coordinates>13.3181,55.8369</coordinates></Point>
6	<Point><coordinates>13.3186,55.8386</coordinates></Point>
6	<Point><coordinates>13.2906,55.8364</coordinates></Point>
3	<Point><coordinates>13.2906,55.8383</coordinates></Point>
6	<Point><coordinates>13.5519,55.9336</coordinates></Point>
6	<Point><coordinates>13.5603,55.9419</coordinates></Point>
6	<Point><coordinates>13.5511,55.9403</coordinates></Point>
6	<Point><coordinates>13.5539,55.9392</coordinates></Point>
6	<Point><coordinates>13.5558,55.9428</coordinates></Point>
6	<Point><coordinates>13.5533,55.9497</coordinates></Point>
6	<Point><coordinates>13.5508,55.9319</coordinates></Point>
6	<Point><coordinates>13.5481,55.9281</coordinates></Point>
6	<Point><coordinates>13.5319,55.9261</coordinates></Point>
3	<Point><coordinates>13.2244,55.6528</coordinates></Point>
11	<Point><coordinates>18.3447,62.8714</coordinates></Point>
11	<Point><coordinates>18.3436,62.8717</coordinates></Point>
11	<Point><coordinates>18.3419,62.8717</coordinates></Point>
11	<Point><coordinates>18.3422,62.8719</coordinates></Point>
11	<Point><coordinates>17.69,62.6322</coordinates></Point>
9	<Point><coordinates>17.6906,62.6322</coordinates></Point>
11	<Point><coordinates>18.4522,62.8892</coordinates></Point>
3	<Point><coordinates>14.1386,55.7683</coordinates></Point>
3	<Point><coordinates>14.1383,55.7686</coordinates></Point>
3	<Point><coordinates>14.1375,55.7689</coordinates></Point>
3	<Point><coordinates>14.1369,55.7692</coordinates></Point>
3	<Point><coordinates>14.1347,55.7694</coordinates></Point>
3	<Point><coordinates>14.1342,55.7706</coordinates></Point>
3	<Point><coordinates>14.1342,55.7708</coordinates></Point>
3	<Point><coordinates>14.1331,55.7708</coordinates></Point>
3	<Point><coordinates>14.1211,55.7719</coordinates></Point>
3	<Point><coordinates>14.1206,55.7717</coordinates></Point>
3	<Point><coordinates>14.1208,55.7714</coordinates></Point>
11	<Point><coordinates>18.1842,62.8836</coordinates></Point>
11	<Point><coordinates>18.1836,62.8839</coordinates></Point>
