X				1	X	330		323	10	row1
		323	323							row1
										row1
								308	329	row1
			317		330				225	row1
						330				row1
										row1
X				X	X				X	row1
X	408	328		2	X	304	404	328	11	row1
						404	406			row1
							308	323		row1
			411			330		302		row1
										row1
			330							row1
			304		302	407				row1
X		314		X	X	401	415		X	row1
X				3	X				12	row1
										row1
								328		row1
	331	308	302	328		331				row1
	316	413	316							row1
			411		329		328			row1
						308				row1
X	322		330	X	X				X	row1
X				4	X	216			13	row1
				316		229		303	226	row1
					203		321	329	222	row1
									303	row1
										row1
				308						row1
										row1
X				X	X				X	row1
X				5	X	315			14	row1
	406				331					row1
										row1
		302								row1
										row1
										row1
	328								330	row1
X	318	302		X	X		224		X	row1
X				6	X				15	row1
					303					row1
				302						row1
317				325			415			row1
		401		404				407		row1
		330					318			row1
		401		210						row1
X				X	X	323			X	row1
X			321	7	X				16	row1
	404									row1
303									331	row1
			401	401	328					row1
					308				408	row1
	302		325	308						row1
							328			row1
X				X	X	302		209	X	row1
X	318			8	X	323	329		17	row1
								304		row1
				204						row1
			325	304			407	311		row1
						325		330		row1
								331		row1
					406		308			row1
X				X	X		303		X	row1
X	328			9	X	330			18	row1
314	308						404			row1
		215			328					row1
				314	222	411	322			row1
	229				229					row1
					328					row1
						302		308		row1
X				X	X				X	row1
X				99	X	303		314	112	row1
	329		309	325			304	325	304	row1
	328	314						318	201	row1
	323		304	311		404		315	308	row1
		323	302	302	310			308	308	row1
224	329	325		331					229	row1
	310	322		318	325		310	304	301	row1
X	315	303		X	X	308		301	X	row1
X	308	223		100	X		226	212	113	row1
			301		411	328				row1
		314	322		309		304	225		row1
	308	318	318	222	209	225		407		row1
	318	314	328	317	215	309			302	row1
407	225	311	318	318	302	316		321	226	row1
		301	311	302	304	404			302	row1
X	302	303	318	X	X		226	225	X	row1
X	308		303	101	X				114	row1
325		331	318	303		310	308			row1
318	328	223	314		222	404	321	309		row1
	310	317					328	304	222	row1
	302	328	317	314	328		321	325		row1
			317	314	316		404	229		row1
323	325		325	325			321	308		row1
X	314	208	314	X	X		215	229	X	row1
X	308	318	211	102	X				115	row1
		301	317	311	325	308				row1
		210	321	308		325	321	315	226	row1
	314	310	303		321		407			row1
	314		309				318			row1
222	321	304	321		322	308				row1
	318		325		328	404	308			row1
X	308	318		X	X	328	321	330	X	row1
X		316	308	103	X	224		224	116	row1
331	330	401	311	224	316	308	304			row1
