id	replicate	trayid	traynumber	rowcoor	colcoor	rep_type	water_type	quality	otherpos	othergeno
9739	1	1_p_l	1	A	2	p	l	1	0	0
9910	1	1_p_l	1	A	3	p	l	1	0	0
9641	1	1_p_l	1	A	4	p	l	1	0	0
7008	1	1_p_l	1	A	5	p	l	1	0	0
9714	1	1_p_l	1	A	6	p	l	1	0	0
9314	1	1_p_l	1	A	7	p	l	1	0	0
9638	1	1_p_l	1	B	1	p	l	1	0	0
7130	1	1_p_l	1	B	2	p	l	1	0	0
9057	1	1_p_l	1	B	3	p	l	1	0	0
9741	1	1_p_l	1	B	4	p	l	1	0	0
5800	1	1_p_l	1	B	5	p	l	1	0	0
9399	1	1_p_l	1	B	6	p	l	1	0	0
9787	1	1_p_l	1	B	7	p	l	1	0	0
6198	1	1_p_l	1	B	8	p	l	1	0	0
9738	1	1_p_l	1	C	1	p	l	1	0	0
6097	1	1_p_l	1	C	2	p	l	1	0	0
9363	1	1_p_l	1	C	3	p	l	1	0	0
7255	1	1_p_l	1	C	4	p	l	1	0	0
9833	1	1_p_l	1	C	5	p	l	1	0	0
9736	1	1_p_l	1	C	6	p	l	1	0	0
9526	1	1_p_l	1	C	7	p	l	1	0	0
6210	1	1_p_l	1	C	8	p	l	1	0	0
9881	1	1_p_l	1	D	1	p	l	1	0	0
6188	1	1_p_l	1	D	2	p	l	1	0	0
9795	1	1_p_l	1	D	3	p	l	1	0	0
6112	1	1_p_l	1	D	4	p	l	1	0	0
7036	1	1_p_l	1	D	5	p	l	1	0	0
9510	1	1_p_l	1	D	6	p	l	1	0	0
766	1	1_p_l	1	D	7	p	l	1	0	0
9625	1	1_p_l	1	D	8	p	l	1	0	0
5486	1	1_p_l	1	E	2	p	l	1	0	0
9873	1	1_p_l	1	E	3	p	l	1	0	0
9897	1	1_p_l	1	E	4	p	l	1	0	0
7288	1	1_p_l	1	E	5	p	l	1	0	0
9906	1	1_p_l	1	E	6	p	l	1	0	0
9644	1	1_p_l	1	E	7	p	l	1	0	0
765	1	2_p_l	2	A	2	p	l	1	0	0
9409	1	2_p_l	2	A	3	p	l	1	0	0
9915	1	2_p_l	2	A	4	p	l	1	0	0
9577	1	2_p_l	2	A	5	p	l	1	0	0
6085	1	2_p_l	2	A	6	p	l	1	0	0
8234	1	2_p_l	2	A	7	p	l	1	0	0
9837	1	2_p_l	2	B	1	p	l	1	0	0
9822	1	2_p_l	2	B	2	p	l	1	0	0
8241	1	2_p_l	2	B	3	p	l	1	0	0
6025	1	2_p_l	2	B	4	p	l	1	0	0
5577	1	2_p_l	2	B	5	p	l	1	0	0
7165	1	2_p_l	2	B	6	p	l	1	0	0
6898	1	2_p_l	2	B	7	p	l	1	0	0
7169	1	2_p_l	2	B	8	p	l	1	0	0
7343	1	2_p_l	2	C	1	p	l	1	0	0
9615	1	2_p_l	2	C	2	p	l	1	0	0
9611	1	2_p_l	2	C	3	p	l	1	0	0
6106	1	2_p_l	2	C	4	p	l	1	0	0
9647	1	2_p_l	2	C	5	p	l	1	0	0
7394	1	2_p_l	2	C	6	p	l	1	0	0
9852	1	2_p_l	2	C	7	p	l	1	0	0
9853	1	2_p_l	2	C	8	p	l	1	0	0
9525	1	2_p_l	2	D	1	p	l	1	0	0
6243	1	2_p_l	2	D	2	p	l	1	0	0
9562	1	2_p_l	2	D	3	p	l	1	0	0
9548	1	2_p_l	2	D	4	p	l	1	0	0
9754	1	2_p_l	2	D	5	p	l	1	0	0
9336	1	2_p_l	2	D	6	p	l	1	0	0
9470	1	2_p_l	2	D	7	p	l	1	0	0
7404	1	2_p_l	2	D	8	p	l	1	0	0
10006	1	2_p_l	2	E	2	p	l	1	0	0
9708	1	2_p_l	2	E	3	p	l	1	0	0
9707	1	2_p_l	2	E	4	p	l	1	0	0
2	1	2_p_l	2	E	5	p	l	1	0	0
9632	1	2_p_l	2	E	6	p	l	1	0	0
9888	1	2_p_l	2	E	7	p	l	1	0	0
6992	1	3_p_l	3	A	2	p	l	1	0	0
6915	1	3_p_l	3	A	3	p	l	1	0	0
9394	1	3_p_l	3	A	4	p	l	1	0	0
9840	1	3_p_l	3	A	5	p	l	1	0	0
9875	1	3_p_l	3	A	6	p	l	1	0	0
8235	1	3_p_l	3	A	7	p	l	1	0	0
9636	1	3_p_l	3	B	1	p	l	1	0	0
7028	1	3_p_l	3	B	2	p	l	1	0	0
7209	1	3_p_l	3	B	3	p	l	1	0	0
9651	1	3_p_l	3	B	4	p	l	1	0	0
9517	1	3_p_l	3	B	5	p	l	1	0	0
7353	1	3_p_l	3	B	6	p	l	1	0	0
9941	1	3_p_l	3	B	7	p	l	1	0	0
6938	1	3_p_l	3	B	8	p	l	1	0	0
9595	1	3_p_l	3	C	1	p	l	1	0	0
5784	1	3_p_l	3	C	2	p	l	1	0	0
9298	1	3_p_l	3	C	3	p	l	1	0	0
7333	1	3_p_l	3	C	4	p	l	1	0	0
9761	1	3_p_l	3	C	5	p	l	1	0	0
9749	1	3_p_l	3	C	6	p	l	1	0	0
8376	1	3_p_l	3	C	7	p	l	1	0	0
9810	1	3_p_l	3	C	8	p	l	1	0	0
9866	1	3_p_l	3	D	1	p	l	1	0	0
7415	1	3_p_l	3	D	2	p	l	1	0	0
9631	1	3_p_l	3	D	3	p	l	1	0	0
9626	1	3_p_l	3	D	4	p	l	1	0	0
9663	1	3_p_l	3	D	5	p	l	1	0	0
1954	1	3_p_l	3	D	6	p	l	1	0	0
9551	1	3_p_l	3	D	7	p	l	1	0	0
9656	1	3_p_l	3	D	8	p	l	1	0	0
6173	1	3_p_l	3	E	2	p	l	1	0	0
6244	1	3_p_l	3	E	3	p	l	1	0	0
9547	1	3_p_l	3	E	4	p	l	1	0	0
5779	1	3_p_l	3	E	5	p	l	1	0	0
9630	1	3_p_l	3	E	6	p	l	1	0	0
6194	1	3_p_l	3	E	7	p	l	1	0	0
9758	1	4_p_l	4	A	2	p	l	1	0	0
9515	1	4_p_l	4	A	3	p	l	1	0	0
8249	1	4_p_l	4	A	4	p	l	1	0	0
9583	1	4_p_l	4	A	5	p	l	1	0	0
9514	1	4_p_l	4	A	6	p	l	1	0	0
9937	1	4_p_l	4	A	7	p	l	1	0	0
9543	1	4_p_l	4	B	1	p	l	1	0	0
6216	1	4_p_l	4	B	2	p	l	1	0	0
9732	1	4_p_l	4	B	3	p	l	1	0	0
7430	1	4_p_l	4	B	4	p	l	1	0	0
6987	1	4_p_l	4	B	5	p	l	1	0	0
9924	1	4_p_l	4	B	6	p	l	1	0	0
6137	1	4_p_l	4	B	7	p	l	1	0	0
9581	1	4_p_l	4	B	8	p	l	1	0	0
9115	1	4_p_l	4	C	1	p	l	1	0	0
7287	1	4_p_l	4	C	2	p	l	1	0	0
9706	1	4_p_l	4	C	3	p	l	1	0	0
9813	1	4_p_l	4	C	4	p	l	1	0	0
7282	1	4_p_l	4	C	5	p	l	1	0	0
9722	1	4_p_l	4	C	6	p	l	1	0	0
9831	1	4_p_l	4	C	7	p	l	1	0	0
9643	1	4_p_l	4	C	8	p	l	1	0	0
8357	1	4_p_l	4	D	1	p	l	1	0	0
9540	1	4_p_l	4	D	2	p	l	1	0	0
6145	1	4_p_l	4	D	3	p	l	1	0	0
7411	1	4_p_l	4	D	4	p	l	1	0	0
7164	1	4_p_l	4	D	5	p	l	1	0	0
7125	1	4_p_l	4	D	6	p	l	1	0	0
7203	1	4_p_l	4	D	7	p	l	1	0	0
9587	1	4_p_l	4	D	8	p	l	1	0	0
9553	1	4_p_l	4	E	2	p	l	1	0	0
9775	1	4_p_l	4	E	3	p	l	1	0	0
8337	1	4_p_l	4	E	4	p	l	1	0	0
9713	1	4_p_l	4	E	5	p	l	1	0	0
9660	1	4_p_l	4	E	6	p	l	1	0	0
9879	1	4_p_l	4	E	7	p	l	1	0	0
6136	1	5_p_l	5	A	2	p	l	1	0	0
9838	1	5_p_l	5	A	3	p	l	1	0	0
9606	1	5_p_l	5	A	4	p	l	1	0	0
6122	1	5_p_l	5	A	5	p	l	1	0	0
9509	1	5_p_l	5	A	6	p	l	1	0	0
403	1	5_p_l	5	A	7	p	l	1	0	0
9629	1	5_p_l	5	B	1	p	l	1	0	0
6090	1	5_p_l	5	B	2	p	l	1	0	0
9427	1	5_p_l	5	B	3	p	l	1	0	0
7298	1	5_p_l	5	B	4	p	l	1	0	0
9536	1	5_p_l	5	B	5	p	l	1	0	0
9609	1	5_p_l	5	B	6	p	l	1	0	0
763	1	5_p_l	5	B	7	p	l	1	0	0
9600	1	5_p_l	5	B	8	p	l	1	0	0
6115	1	5_p_l	5	C	1	p	l	1	0	0
9599	1	5_p_l	5	C	2	p	l	1	0	0
9878	1	5_p_l	5	C	3	p	l	1	0	0
9898	1	5_p_l	5	C	4	p	l	1	0	0
8365	1	5_p_l	5	C	5	p	l	1	0	0
8244	1	5_p_l	5	C	6	p	l	1	0	0
8264	1	5_p_l	5	C	7	p	l	1	0	0
9855	1	5_p_l	5	C	8	p	l	1	0	0
9817	1	5_p_l	5	D	1	p	l	1	0	0
9634	1	5_p_l	5	D	2	p	l	1	0	0
9532	1	5_p_l	5	D	3	p	l	1	0	0
9557	1	5_p_l	5	D	4	p	l	1	0	0
9544	1	5_p_l	5	D	5	p	l	1	0	0
6201	1	5_p_l	5	D	6	p	l	1	0	0
7014	1	5_p_l	5	D	7	p	l	1	0	0
9659	1	5_p_l	5	D	8	p	l	1	0	0
7013	1	5_p_l	5	E	2	p	l	1	0	0
6174	1	5_p_l	5	E	3	p	l	1	0	0
9573	1	5_p_l	5	E	4	p	l	1	0	0
1	1	5_p_l	5	E	5	p	l	1	0	0
9371	1	5_p_l	5	E	6	p	l	1	0	0
8420	1	5_p_l	5	E	7	p	l	1	0	0
7346	1	6_p_l	6	A	2	p	l	1	0	0
10014	1	6_p_l	6	A	3	p	l	1	0	0
9717	1	6_p_l	6	A	4	p	l	1	0	0
915	1	6_p_l	6	A	5	p	l	1	0	0
9535	1	6_p_l	6	A	6	p	l	1	0	0
9661	1	6_p_l	6	A	7	p	l	1	0	0
6990	1	6_p_l	6	B	1	p	l	1	0	0
7117	1	6_p_l	6	B	2	p	l	1	0	0
7307	1	6_p_l	6	B	3	p	l	1	0	0
8242	1	6_p_l	6	B	4	p	l	1	0	0
6132	1	6_p_l	6	B	5	p	l	1	0	0
9903	1	6_p_l	6	B	6	p	l	1	0	0
9947	1	6_p_l	6	B	7	p	l	1	0	0
7419	1	6_p_l	6	B	8	p	l	1	0	0
9826	1	6_p_l	6	C	1	p	l	1	0	0
9876	1	6_p_l	6	C	2	p	l	1	0	0
6184	1	6_p_l	6	C	3	p	l	1	0	0
8237	1	6_p_l	6	C	4	p	l	1	0	0
9902	1	6_p_l	6	C	5	p	l	1	0	0
7126	1	6_p_l	6	C	6	p	l	1	0	0
6134	1	6_p_l	6	C	7	p	l	1	0	0
9058	1	6_p_l	6	C	8	p	l	1	0	0
7217	1	6_p_l	6	D	1	p	l	1	0	0
9716	1	6_p_l	6	D	2	p	l	1	0	0
9905	1	6_p_l	6	D	3	p	l	1	0	0
9602	1	6_p_l	6	D	4	p	l	1	0	0
9642	1	6_p_l	6	D	5	p	l	1	0	0
9699	1	6_p_l	6	D	6	p	l	1	0	0
9759	1	6_p_l	6	D	7	p	l	1	0	0
9762	1	6_p_l	6	D	8	p	l	1	0	0
6114	1	6_p_l	6	E	2	p	l	1	0	0
9834	1	6_p_l	6	E	3	p	l	1	0	0
8240	1	6_p_l	6	E	4	p	l	1	0	0
9827	1	6_p_l	6	E	5	p	l	1	0	0
9812	1	6_p_l	6	E	6	p	l	1	0	0
6008	1	6_p_l	6	E	7	p	l	1	0	0
9593	1	7_p_l	7	A	2	p	l	1	0	0
7373	1	7_p_l	7	A	3	p	l	1	0	0
10020	1	7_p_l	7	A	4	p	l	1	0	0
6133	1	7_p_l	7	A	5	p	l	1	0	0
9883	1	7_p_l	7	A	6	p	l	1	0	0
7106	1	7_p_l	7	A	7	p	l	1	0	0
9637	1	7_p_l	7	B	1	p	l	1	0	0
5772	1	7_p_l	7	B	2	p	l	1	0	0
6203	1	7_p_l	7	B	3	p	l	1	0	0
7063	1	7_p_l	7	B	4	p	l	1	0	0
9882	1	7_p_l	7	B	5	p	l	1	0	0
7002	1	7_p_l	7	B	6	p	l	1	0	0
7143	1	7_p_l	7	B	7	p	l	1	0	0
9533	1	7_p_l	7	B	8	p	l	1	0	0
6128	1	7_p_l	7	C	1	p	l	1	0	0
9764	1	7_p_l	7	C	2	p	l	1	0	0
9828	1	7_p_l	7	C	3	p	l	1	0	0
9332	1	7_p_l	7	C	4	p	l	1	0	0
9588	1	7_p_l	7	C	5	p	l	1	0	0
9782	1	7_p_l	7	C	6	p	l	1	0	0
9579	1	7_p_l	7	C	7	p	l	1	0	0
9098	1	7_p_l	7	C	8	p	l	1	0	0
9790	1	7_p_l	7	D	1	p	l	1	0	0
6202	1	7_p_l	7	D	2	p	l	1	0	0
9854	1	7_p_l	7	D	3	p	l	1	0	0
