accessionid;idFlat;Pot_position;Pot_row;Pot_column;Flat_position_16LD;T_germ;T_inf;T_repro;PostInf_duration;nSiliques;RosetteArea;RosetteDM;InfloDM;RootDM;ShootAlloc;RootAlloc;ReproAlloc;LUEinf;FvFm_mean;FvFm_sd;FvFm_median;FvFm_S;FvFm_Wmax;RAinf;ERinf;RERinf;DMinf;GRinf;RGRinf
88;F11;D4;D;4;F_2_r;6;25.21043969;46;20.78956031;141;59.5125789;215.43;740.54;355.505994;16.42653018;27.10731997;56.46614985;0.748712068;0.825204078;0.075192402;0.827451;0.448257481;0.806462888;14.87814473;3.545885572;119.1642385;107.715;11.1394465;103.4159263
88;F25;A9;A;9;G_1_m;10;26.84020214;54;27.15979786;205;81.5996566;261.43;930.9;419.345204;16.22101025;26.01921299;57.75977676;0.624370713;0.828637781;0.075639476;0.831373;0.524694631;0.784420292;20.39991415;5.123936409;125.5872052;130.715;12.73710894;97.44183102
108;F3;F10;F;10;B_1_m;2;35.49475737;65;29.50524263;217;92.50446924;277.23;920.7;519.563573;16.14154512;30.25126738;53.6071875;0.633381259;0.830393745;0.078674942;0.835294;0.561448052;0.848443074;23.12611731;5.363416759;115.960165;138.615;14.6476493;105.6714591
108;F17;F8;F;8;E_1_m;6;27.7107488;57;29.2892512;226;98.13805274;304.68;1051.89;663.217987;15.08475157;32.83601998;52.07922845;0.684905076;0.829391174;0.081583202;0.835038;0.418681987;0.571210215;24.53451319;5.76040206;117.3938528;152.34;16.80381261;110.3046646
139;F1;E3;E;3;H_4_l;2;30.1916517;65;34.8083483;237;98.20842949;305.15;914.75;496.289324;17.78067231;28.91809878;53.3012289;0.8995058;0.831163422;0.076174553;0.835294;0.250173041;0.804059816;24.55210737;6.688117654;136.2025172;152.575;22.08476298;144.7469309
139;F26;B8;B;8;D_3_m;12;23.20789048;53;29.79210952;196;87.89359443;280.79;963.74;564.989603;15.51737818;31.22318222;53.2594396;0.886531062;0.830353929;0.078339145;0.835294;0.361393389;0.809507028;21.97339861;5.373875232;122.2813851;140.395;19.4801004;138.7520952
159;F10;D2;D;2;C_1_r;5;30.94063864;58;27.05936136;278;126.9191132;438.86;1168.46;588.833111;19.98312403;26.81202454;53.20485144;0.754408178;0.825738479;0.078845269;0.831373;0.366953878;0.70216779;31.7297783;6.358561241;100.1986396;219.43;23.93720425;109.0881112
159;F17;F2;F;2;E_1_m;11;24.70431368;51;26.29568632;264;119.7493712;393.25;989.33;587.217681;19.96397923;29.81106571;50.22495506;0.883792303;0.823137329;0.082228496;0.827451;0.517016774;0.774076658;29.9373428;7.861776469;131.3038455;196.625;26.45839313;134.5627114
265;F3;B10;B;10;B_1_m;6;24.21318769;46;21.78681231;120;62.13749075;132.63;695.93;481.302978;10.12548658;36.74452871;53.12998472;0.483232596;0.827886805;0.081490126;0.831373;0.517610519;0.820285234;15.53437269;3.922087855;126.2390163;66.315;7.506715238;113.1978472
265;F19;F10;F;10;C_3_r;5;20.88491363;45;24.11508637;146;71.98956816;114.38;576.84;301.674695;11.51985206;30.38335249;58.09679545;0.392293694;0.829544456;0.087107577;0.835294;0.399348132;0.783210977;17.99739204;4.838181384;134.413402;57.19;7.060263406;123.4527611
410;F7;F10;F;10;G_4_m;4;24.47613475;42;17.52386525;175;53.43218446;220.05;699.4;310.582644;17.88976911;25.24995133;56.86027956;0.959125517;0.822504639;0.085573332;0.827451;0.383048377;0.674380022;13.35804612;3.216332957;120.3893492;110.025;12.81204288;116.4466519
410;F17;B2;B;2;E_1_m;8;24.10607695;48;23.89392305;na;82.35394872;151.19;736.37;444.864715;11.34698256;33.38760607;55.26541137;0.412798181;0.81940247;0.078077873;0.822304;0.54098954;0.81542242;20.58848718;4.96235937;120.5129674;75.595;8.49889006;112.4266163
428;F7;C3;C;3;G_4_m;3;23.37512175;48;24.62487825;313;60.40089455;199.52;1006.07;455.389936;12.01218604;27.41694383;60.57087013;0.761892505;0.826173832;0.081618408;0.831373;0.333546708;0.718417409;15.10022364;4.535836363;150.1910327;99.76;11.50474722;115.3242504
428;F20;D8;D;8;H_1_r;7;25.35690534;48;22.64309466;na;53.53701947;208.98;983.53;330.955485;13.71740955;21.72385842;64.55873203;0.851496252;0.825717402;0.079781094;0.831373;0.263410707;0.911711354;13.38425487;3.091345456;115.4844064;104.49;11.39664285;109.0692205
430;F6;F2;F;2;C_2_m;7;25.36794505;47;21.63205495;123;64.57580843;269.51;606.94;300.402572;22.90091439;25.5259307;51.57315491;1.063573564;0.828193541;0.075261354;0.831373;0.445661761;0.794358888;16.14395211;3.388419939;104.9439418;134.755;17.17028067;127.4185052
430;F32;B8;B;8;B_2_m;10;25.87056196;55;29.12943804;107;75.67896548;327.61;562.54;327.385139;26.90764229;26.88917375;46.20318396;1.205188081;0.822533415;0.07759484;0.827451;0.456658737;0.805548317;18.91974137;4.165694212;110.0885612;163.805;22.8018468;139.2011648
763;F4;D8;D;8;D_2_m;3;23.01197457;41;17.98802543;112;75.4385516;136.18;494.3;286.372326;14.85299171;31.23429127;53.91271702;0.429983493;0.820114937;0.084183922;0.827451;0.449982204;0.872024171;18.8596379;4.528544315;120.0591533;68.09;8.109332986;119.0972681
763;F28;D6;D;6;G_3_r;7;18.47880405;35;16.52119595;89;50.49617308;103.19;515.71;186.044661;12.81951481;23.11272688;64.06775832;0.556094217;0.815408185;0.079690085;0.819608;0.461431353;0.825004157;12.62404327;3.484059495;137.9930114;51.595;7.020157461;136.0627476
765;F4;E3;E;3;D_2_m;2;29.48825348;51;21.51174652;221;78.28331799;173.09;423.35;175.868338;22.41203306;22.77177771;54.81618923;0.533818514;0.822118726;0.082221517;0.827451;0.471914295;0.697656889;19.5708295;4.205005857;107.4304453;86.545;10.44727112;120.7149011
766;F6;E5;E;5;C_2_m;3;21.07522859;40;18.92477141;176;72.03402313;223.77;480.9;295.9532;22.36306334;29.57688768;48.06004898;0.861342229;0.824976719;0.081807957;0.831373;0.442030443;0.697379511;18.00850578;6.586828264;182.8810325;111.885;15.51148651;138.6377666
766;F17;F4;F;4;E_1_m;8;20.18412437;39;18.81587563;87;45.37236353;107.54;338.29;184.791141;17.05302804;29.30303616;53.6439358;0.6371872;0.828057672;0.082354584;0.835294;0.486997959;0.632613896;11.34309088;2.946981493;129.9020489;53.77;7.227672319;134.4183061
768;F1;C9;C;9;H_4_l;7;27.68464222;52;24.31535778;na;102.215997;381.21;704.56;387.587605;25.87355566;26.30641765;47.82002669;0.934580333;0.820855443;0.077475408;0.823529;0.507880641;0.679332239;25.55399925;5.920547064;115.8438451;190.605;23.88226512;125.2971597
768;F28;C3;C;3;G_3_r;10;27.27291081;54;26.72708919;207;103.5102697;394.59;709.29;366.762232;26.83113482;24.93891607;48.2299491;0.93980103;0.822037431;0.078352554;0.827451;0.473997709;0.688626326;25.87756743;5.698265548;110.1004869;197.295;24.31976453;123.2659952
772;F13;B2;B;2;A_4_l;7;19.13777213;39;19.86222787;85;66.77097742;101.31;469.65;183.273602;13.43217801;24.29931543;62.26850657;0.414503368;0.816692595;0.07716483;0.819608;0.377065212;0.724457161;16.69274436;4.364536189;130.7315351;50.655;6.919198752;136.594586
772;F25;C1;C;1;G_1_m;8;21.58191325;39;17.41808675;69;65.41464363;119.85;477.79;226.602467;14.54062425;27.49220964;57.96716611;0.528521352;0.819548473;0.077455019;0.823617;0.50044511;0.652076587;16.35366091;4.076084519;124.6229986;59.925;8.643258976;144.2346095
992;F15;D8;D;8;F_4_r;6;30.21095123;68;37.78904877;52;54.78841445;1040.64;505.39;324.556868;55.63173878;17.35053707;27.01772415;4.542803742;0.831759192;0.081588014;0.839216;0.387464963;0.622618448;13.69710361;4.069949963;148.5697297;520.32;62.22325355;119.5865113
992;F30;A7;A;7;C_4_r;3;34.1675721;70;35.8324279;50;118.2034326;1164.2;562.43;400.256267;54.73729452;18.81888436;26.44382113;1.990461224;0.836288542;0.082279007;0.843137;0.454551261;0.70130453;29.55085815;6.747646508;114.1700602;582.1;58.81983729;101.0476504
1066;F6;F8;F;8;C_2_m;6;34.01919364;135;100.9808064;376;77.89388496;2211.07;1658.19;508.556294;50.50623077;11.61666593;37.8771033;7.091508804;0.831684674;0.08390539;0.839216;0.401808187;0.77533251;19.47347124;4.685146476;120.295617;1105.535;138.0962928;124.9135421
1066;F23;F10;F;10;E_4_l;7;36.95880545;121;84.04119455;na;59.74610245;2667.18;1262.8;504.516106;60.14617977;11.37707857;28.47674166;10.80359117;0.834295538;0.083302151;0.839216;0.52021931;0.64167747;14.93652561;3.144147871;105.250309;1333.59;161.3681162;121.0027941
1435;F7;A9;A;9;G_4_m;4;29.93720538;55;25.06279462;na;79.16082091;353.88;661.87;483.139888;23.60947277;32.23318083;44.1573464;0.932528433;0.82710808;0.087614444;0.835294;0.409394191;0.705051044;19.79020523;3.955036352;99.92408635;176.94;18.45492907;104.3004921
1435;F19;D8;D;8;C_3_r;5;25.56017453;53;27.43982547;189;85.34505456;370.99;734.3;475.356501;23.47077603;30.07354906;46.45567491;1.108970939;0.831076;0.086444521;0.839216;0.340393303;0.74356808;21.33626364;5.483671529;128.5059001;185.495;23.66129633;127.5575963
4931;F10;A3;A;3;C_1_r;9;24.0811227;46;21.9188773;159;78.90791776;187.46;741.94;302.982471;15.21118682;24.58510066;60.20371252;0.633917534;0.82111794;0.07962534;0.827451;0.444861774;0.786841535;19.72697944;4.593319294;116.422266;93.73;12.50527817;133.4180963
4931;F31;D8;D;8;F_2_l;8;24.12894853;47;22.87105147;173;74.95776063;180.66;713.36;335.038252;14.69905919;27.25975367;58.04118713;0.621881072;0.820870268;0.081327829;0.823529;0.29512244;0.774610428;18.73944016;4.561787166;121.7162073;90.33;11.65370314;129.0125444
5151;F20;B6;B;6;H_1_r;3;36.27955463;71;34.72044537;164;143.8760946;1340.23;1153.51;671.076132;42.34779981;21.20426919;36.447931;2.027881095;0.830023779;0.076987056;0.835294;0.29663725;0.837177203;35.96902365;7.733097754;107.4966314;670.115;72.94090306;108.8483366
5165;F6;B8;B;8;C_2_m;6;28.8072381;61;32.1927619;118;110.3863897;786.55;798.83;544.613742;36.92733854;25.5687954;37.50386606;1.74717275;0.825860624;0.082081732;0.831373;0.353553892;0.786741725;27.59659743;6.938996433;125.7219563;393.275;48.21602302;122.6012918
5165;F23;C7;C;7;E_4_l;5;32.14590427;61;28.85409573;123;86.47566879;688.43;910.41;499.916802;32.80179959;23.81966322;43.3785372;1.765027508;0.833865833;0.07917533;0.839216;0.430969234;0.6557291;21.6189172;4.500067405;104.0770767;344.215;38.15798355;110.8550864
5253;F7;B10;B;10;G_4_m;6;21.16577722;38;16.83422278;137;66.90223817;152.59;393;203.793707;20.36206533;27.19484092;52.44309375;0.61702022;0.822151674;0.081369787;0.827451;0.523205047;0.753583873;16.72555954;4.313858388;128.9600619;76.295;10.32000843;135.2645446
5253;F26;D8;D;8;D_3_m;6;22.84836112;42;19.15163888;165;70.00462702;172.83;499.32;254.22298;18.65663223;27.44283194;53.90053583;0.644993874;0.823409346;0.084942779;0.827451;0.491103459;0.689431064;17.50115676;4.322476629;123.4911694;86.415;11.2881389;130.6270775
5276;F5;B6;B;6;G_3_m;7;24.3392301;47;22.6607699;129;107.6655039;360.7;693.3;355.13339;25.59729282;25.20225498;49.2004522;0.930688275;0.832307512;0.080397779;0.839216;0.12156703;0.854081087;26.91637598;6.755905024;125.4980431;180.35;25.05075551;138.9007791
5276;F22;A9;A;9;H_2_m;10;27.00245411;58;30.99754589;154;96.49959728;461.44;841.39;482.172275;25.85094744;27.01241795;47.1366346;1.378340452;0.827920205;0.07997382;0.831373;0.487025229;0.788366034;24.12489932;5.27056213;109.2349042;230.72;33.25232463;144.1241532
5644;F2;E7;E;7;H_1_m;2;30.90264571;53;22.09735429;183;84.27801879;305.79;947.82;1441.65836;11.34543797;53.48849047;35.16607155;0.850174837;0.829121856;0.073079137;0.831373;0.413761833;0.822908494;21.0695047;4.670968844;110.8466694;152.895;17.91276272;117.1572826
5644;F18;B6;B;6;A_2_l;5;25.08565047;45;19.91434953;218;80.06767508;274.62;724.65;320.256301;20.81201411;24.27055078;54.9174351;0.855393493;0.825028141;0.080786175;0.831373;0.437502155;0.702943829;20.01691877;5.015621072;125.2845438;137.31;17.12234207;124.6984347
5726;F6;C5;C;5;C_2_m;8;22.11507459;46;23.88492541;208;93.75371637;373.41;855.77;337.732213;23.83094579;21.5539971;54.61505711;1.190429582;0.82697867;0.078727975;0.831373;0.356335298;0.704110892;23.43842909;6.632959697;141.4975311;186.705;27.90179935;149.4432358
5768;F14;E1;E;1;A_1_l;9;38.04962059;77;38.95037941;146;172.068467;1148.96;1086.91;682.890951;39.36464888;23.39660433;37.23874679;1.325213331;0.81356478;0.079195975;0.815686;0.389631777;0.654134154;43.01711675;8.744147461;101.6356758;574.48;57.00685657;99.23209959
5772;F2;D10;D;10;H_1_m;10;22.93663357;59;36.06336643;240;89.70969653;447.95;929.82;NA;NA;NA;NA;1.742274655;0.828250954;0.072358538;0.831373;0.379851585;0.771809843;22.42742413;5.07373248;113.114472;223.975;39.07473264;174.4602417
5784;F7;F8;F;8;G_4_m;4;34.67783066;68;33.32216934;103;91.21275477;871.97;856.73;451.11988;40.00192897;20.6952824;39.30278863;1.953494926;0.83237436;0.087821145;0.839216;0.312816053;0.759508574;22.80318869;5.000091181;109.6357893;435.985;44.54591341;102.1730413
5784;F24;C9;C;9;B_3_m;9;40.32609165;85;44.67390835;107;116.1629464;1079.04;1341;876.944156;32.72809176;26.59837338;40.67353486;1.674548529;0.837594229;0.082307341;0.843137;0.424034935;0.545464326;29.0407366;5.807550565;99.98972555;539.52;48.63012277;90.13590371
5811;F16;D6;D;6;H_2_r;6;26.07818367;47;20.92181633;216;125.3418341;473.51;928.16;362.894204;26.83438772;20.56565599;52.59995629;1.075366486;0.826119451;0.076386448;0.831373;0.337510842;0.799003235;31.33545853;7.367491573;117.5583815;236.755;33.69710192;142.328998
5811;F30;D10;D;10;C_4_r;5;26.55038132;48;21.44961868;154;49.54931472;157.4;686.7;252.752595;14.35015067;23.04344231;62.60640702;0.683719291;0.834227333;0.086019553;0.839216;0.30056065;0.783827543;12.38732868;2.247975758;90.73690606;78.7;8.469455581;107.6169705
5818;F10;E9;E;9;C_1_r;6;26.14847994;49;22.85152006;169;106.5594868;294.07;858.97;319.179697;19.9746003;21.68016755;58.34523215;0.658596984;0.828549814;0.075321662;0.831373;0.399749633;0.837151839;26.6398717;6.113315229;114.7399525;147.035;17.54493915;119.3249169
5818;F20;F10;F;10;H_1_r;7;27.93189858;53;25.06810142;171;94.85042315;297.01;1005.69;429.332999;17.14805666;24.78780712;58.06413622;0.713180247;0.825904418;0.078517778;0.831373;0.387289228;0.699912586;23.71260579;4.920579058;103.7544988;148.505;16.91136206;113.8773917
5830;F1;D2;D;2;H_4_l;9;31.45477576;78;46.54522424;134;139.8532254;1313.99;721.18;459.899729;52.66345805;18.43233973;28.90420222;2.511670124;0.830816216;0.081156836;0.835294;0.502103564;0.68517124;34.96330635;7.86087581;112.4160818;656.995;87.81629199;133.6635621
5830;F18;A7;A;7;A_2_l;5;32.07917428;66;33.92082572;121;124.1691526;1072.73;615.22;378.240423;51.91825439;18.30617444;29.77557117;1.943498228;0.833813106;0.079153543;0.839216;0.382384411;0.63680776;31.04228815;6.892058425;111.0107991;536.365;60.33063201;112.4805534
5867;F2;D6;D;6;H_1_m;7;42.1085578;136;93.8914422;20;60.79535232;1913.65;1462.58;851.89804;45.25998224;20.1483501;34.59166766;5.837966038;0.832297827;0.081389865;0.839216;0.057001761;-0.156930287;15.19883808;3.496051785;115.0104951;956.825;88.73030053;92.73409509
5867;F26;A7;A;7;D_3_m;7;36.44962904;124;87.55037096;38;72.28672392;2155.41;1163.39;965.727554;50.30683017;22.53988431;27.15328552;6.407584387;0.831275291;0.081469992;0.835294;0.41576693;0.810076812;18.07168098;4.529518918;125.3209074;1077.705;115.7958209;107.4466769
5874;F15;B6;B;6;F_4_r;3;25.37806512;46;20.62193488;152;51.41342692;293.07;645.63;292.517447;23.80326893;23.75839034;52.43834073;1.351956895;0.835176986;0.079599801;0.839216;0.394904915;0.674550874;12.85335673;3.945391976;153.4771056;146.535;17.37718426;118.5872608
5874;F26;F2;F;2;D_3_m;11;26.61026262;57;30.38973738;153;86.15892744;609.94;726.18;468.388938;33.8008855;25.95658731;40.24252719;1.777252846;0.830085178;0.080929727;0.835294;0.472902849;0.816549275;21.53973186;5.093529498;118.2356756;304.97;38.28154974;125.5256246
5890;F15;E9;E;9;F_4_r;6;25.7430342;47;21.2569658;147;78.41901837;217.94;631.05;249.101242;19.84716676;22.68493113;57.46790211;0.645935129;0.823746462;0.081151154;0.827451;0.399255429;0.741128873;19.60475459;4.293519803;109.5020033;108.97;12.66339968;116.2099631
5890;F21;A9;A;9;H_3_r;6;30.43571566;58;27.56428434;178;87.50516653;231.2;752.49;398.81356;16.72328424;28.8471995;54.42951626;0.541928177;0.822795692;0.082275048;0.827451;0.462046066;0.544654814;21.87629163;4.327715552;98.91337217;115.6;11.85537885;102.5551804
5893;F2;F8;F;8;H_1_m;2;38.42746566;72;33.57253434;164;40.64482877;723.7;1042.02;669.129793;29.72257271;27.48135819;42.7960691;3.39256869;0.824417532;0.084672632;0.831373;0.29251303;0.688151643;10.16120719;2.175239618;107.0364759;361.85;34.47259337;95.26763402
5893;F18;D6;D;6;A_2_l;5;32.29969942;64;31.70030058;149;125.3961095;789.73;1129.6;646.140955;30.78304194;25.18605614;44.03090192;1.326199109;0.824478884;0.081198946;0.827451;0.488272145;0.744046386;31.34902738;6.995195746;111.5695818;394.865;41.57505217;105.2892816
5907;F8;D10;D;10;A_1_r;8;26.97607415;54;27.02392585;237;56.55894016;198.86;1055.09;473.507042;11.51171897;27.41064064;61.07764039;0.716201982;0.824909839;0.076530372;0.827451;0.368843803;0.675894584;14.13973504;3.254567763;115.0858822;99.43;10.12690626;101.8496053
5907;F32;E3;E;3;B_2_m;8;27.56595574;55;27.43404426;181;70.79536533;261.51;882.73;464.889494;16.25164419;28.8907447;54.85761111;0.790855191;0.822284817;0.079855679;0.827451;0.411083285;0.882946886;17.69884133;4.3176072;121.9742897;130.755;13.99722054;107.0492183
5950;F11;B10;B;10;F_2_r;7;28.88553657;59;30.11446343;222;99.08520179;458.3;847.44;446.806358;26.15052081;25.49469553;48.35478366;1.102870692;0.82047929;0.079739762;0.823529;0.258302392;0.73231853;24.77130045;5.555803373;112.1419399;229.15;27.31954125;119.2212143
5950;F20;F4;F;4;H_1_r;7;33.37403004;64;30.62596996;244;103.1831475;528.63;906.53;508.495293;27.19772389;26.16180425;46.64047186;1.130390651;0.824519652;0.075608368;0.827451;0.532844366;0.682937507;25.79578688;4.479751011;86.83105953;264.315;29.15931632;110.3203236
5984;F16;C5;C;5;H_2_r;8;24.50899334;47;22.49100666;185;66.39953113;180.34;866.94;272.038689;13.66917649;20.61963431;65.71118921;0.652510063;0.8266312;0.079588049;0.83268;0.55251292;0.784808335;16.59988278;3.668287281;110.491361;90.17;10.83159057;120.1241052
5984;F31;C5;C;5;F_2_l;8;22.35249673;44;21.64750327;192;67.92165581;179.9;805.9;306.48657;13.92106087;23.71661032;62.36232881;0.688855123;0.823084824;0.086075173;0.827451;0.35599424;0.710270905;16.98041395;4.3729277;128.7638721;89.95;11.69704515;130.0394124
6009;F6;F6;F;6;C_2_m;6;32.64652937;79;46.35347063;76;123.5020726;1153.24;297.33;203.659499;69.71463154;12.31144162;17.97392685;2.041303796;0.834811168;0.084456354;0.843137;0.255124207;0.79633936;30.87551815;7.732360577;125.2183128;576.62;63.02631241;109.3030287
6009;F20;B8;B;8;H_1_r;7;45.74788419;102;56.25211581;122;66.83592385;1226.81;468.21;644.847903;52.43073758;27.55915845;20.01010396;2.867450164;0.838406329;0.064451599;0.839216;0.334768546;0.752330962;16.70898096;3.852436238;115.2804066;613.405;47.91217019;78.10854198
6023;F2;F2;F;2;H_1_m;2;41.33467542;76;34.66532458;163;113.7189243;681.61;1415.61;709.855855;24.28185183;25.28808952;50.43005865;1.060316162;0.827397432;0.082576596;0.831373;0.236238978;0.701469613;28.42973108;5.342856159;93.96599893;340.805;30.14450335;88.4508835
6023;F29;C7;C;7;B_4_m;6;34.62824317;66;31.37175683;96;103.7181484;774.33;899.73;462.433835;36.24302525;21.64451998;42.11245477;1.435306231;0.832176109;0.086409011;0.839216;0.302873626;0.764196426;25.9295371;4.826581808;93.07111403;387.165;37.21682617;96.12652531
6025;F5;A7;A;7;G_3_m;8;25.93345643;77;51.06654357;154;74.44167241;770.99;678.84;183.507444;47.20335059;11.23512136;41.56152805;3.504362201;0.830040995;0.084276254;0.835294;0.411149231;0.627613423;18.6104181;4.196782236;112.753572;385.495;65.21764574;169.1789666
6034;F16;D8;D;8;H_2_r;4;35.16428849;67;31.83571151;156;137.0263035;833.53;1198.98;413.669672;34.07476603;16.91084579;49.01438818;1.26751362;0.827286439;0.079259272;0.831373;0.527317903;0.842394338;34.25657588;6.426542299;93.80012648;416.765;43.42067649;104.1850359
6034;F20;D2;D;2;H_1_r;8;33.21170925;66;32.78829075;102;120.0140325;938.4;1128.93;456.044024;37.18830388;18.07278745;44.73890867;1.855170626;0.82555093;0.074677344;0.827451;0.294680566;0.821707996;30.00350813;6.242002087;104.0212041;469.2;55.66162696;118.6309185
6035;F15;E5;E;5;F_4_r;6;28.61814201;61;32.38185799;193;106.8101189;696.29;1066.53;495.093547;30.83776174;21.92703736;47.2352009;1.724493627;0.820608374;0.084437598;0.827451;0.529418495;0.799121285;26.70252973;6.666145857;124.8223656;348.145;46.04834234;132.2677113
