ACC_ID	SET	mean_Total_length_day001	mean_Total_length_day002	mean_Total_length_day003	mean_Total_length_day004	mean_Total_length_day005	mean_Euclidian_length_day001	mean_Euclidian_length_day002	mean_Euclidian_length_day003	mean_Euclidian_length_day004	mean_Euclidian_length_day005	mean_Root_tortuosity_day001	mean_Root_tortuosity_day002	mean_Root_tortuosity_day003	mean_Root_tortuosity_day004	mean_Root_tortuosity_day005	mean_Root_tortuosity_avg	mean_Root_growth_rate_day001-day002	mean_Root_growth_rate_day002-day003	mean_Root_growth_rate_day003-day004	mean_Root_growth_rate_day004-day005	mean_Root_growth_rate_avg	mean_Relative_root_growth_rate_day001-day002	mean_Relative_root_growth_rate_day002-day003	mean_Relative_root_growth_rate_day003-day004	mean_Relative_root_growth_rate_day004-day005	mean_Relative_root_growth_rate_avg	mean_Root_angle_day001	mean_Root_angle_day002	mean_Root_angle_day003	mean_Root_angle_day004	mean_Root_angle_day005	mean_Root_angle_avg	mean_Root_directional_equivalent_day001	mean_Root_directional_equivalent_day002	mean_Root_directional_equivalent_day003	mean_Root_directional_equivalent_day004	mean_Root_directional_equivalent_day005	mean_Root_directional_equivalent_avg	mean_Root_horizontal_index_day001	mean_Root_horizontal_index_day002	mean_Root_horizontal_index_day003	mean_Root_horizontal_index_day004	mean_Root_horizontal_index_day005	mean_Root_horizontal_index_avg	mean_Root_vertical_index_day001	mean_Root_vertical_index_day002	mean_Root_vertical_index_day003	mean_Root_vertical_index_day004	mean_Root_vertical_index_day005	mean_Root_vertical_index_avg	mean_Root_linearity_day001	mean_Root_linearity_day002	mean_Root_linearity_day003	mean_Root_linearity_day004	mean_Root_linearity_day005	mean_Root_linearity_avg	mean_Average_root_width_day001	mean_Average_root_width_day002	mean_Average_root_width_day003	mean_Average_root_width_day004	mean_Average_root_width_day005	mean_Average_root_width_avg	mean_Root_width_20_day001	mean_Root_width_20_day002	mean_Root_width_20_day003	mean_Root_width_20_day004	mean_Root_width_20_day005	mean_Root_width_20_avg	mean_Root_width_40_day001	mean_Root_width_40_day002	mean_Root_width_40_day003	mean_Root_width_40_day004	mean_Root_width_40_day005	mean_Root_width_40_avg	mean_Root_width_60_day001	mean_Root_width_60_day002	mean_Root_width_60_day003	mean_Root_width_60_day004	mean_Root_width_60_day005	mean_Root_width_60_avg	mean_Root_width_80_day001	mean_Root_width_80_day002	mean_Root_width_80_day003	mean_Root_width_80_day004	mean_Root_width_80_day005	mean_Root_width_80_avg	mean_Root_width_100_day001	mean_Root_width_100_day002	mean_Root_width_100_day003	mean_Root_width_100_day004	mean_Root_width_100_day005	mean_Root_width_100_avg
86	1	137.4018182	308.9964583	463.2457826	583.4299524	701.2499444	128.8073636	286.0139583	427.9108261	535.295619	645.9047778	1.063524701	1.080826101	1.082032632	1.08973737	1.086038166	1.081971794	178.4535909	154.7511739	128.8859048	131.9221667	153.4206285	1.346892208	0.512510608	0.287662505	0.233336046	0.654742889	-0.177863636	-1.607333333	-4.282086957	-5.926238095	-7.768888889	-3.828217361	0.181818182	0.197791667	0.212391304	0.243095238	0.263333333	0.220029167	5.029272727	10.08070833	15.24556522	21.91347619	31.67083333	16.02917986	37.24381818	83.090875	124.0754348	155.0327143	185.0255	111.6010611	0.661772727	0.616625	0.610347826	0.657238095	0.718555556	0.656406944	4.332	4.013	4.015130435	3.766857143	4.328611111	4.079143056	5.235545455	4.758583333	4.589608696	4.426142857	5.038777778	4.836146528	4.204545455	3.891958333	3.959173913	3.672333333	4.101333333	3.953275694	3.935545455	3.855875	3.741652174	3.52347619	4.149722222	3.821638889	4.032772727	3.7105	3.839304348	3.576285714	4.164	3.83925	4.248590909	3.849416667	3.944608696	3.634380952	4.187611111	3.944098611
96	2	139.6453889	257.0894118	390.2176842	513.3565	653.1056	124.8850556	229.0353529	353.8247368	462.6597222	590.8358	1.122620368	1.133832256	1.110717577	1.116508514	1.114458728	1.120123216	129.362375	122.8571765	124.7624706	135.4153333	126.6924605	1.017160882	0.544260598	0.33052061	0.266608596	0.543168263	10.48261111	3.984176471	1.170210526	0.490333333	0.66	6.65095	0.419444444	0.398529412	0.336	0.365111111	0.347933333	0.390748413	9.096611111	12.83835294	16.77631579	19.75027778	20.41146667	15.27864365	34.99761111	65.74811765	101.2637368	133.8542778	171.2067333	95.47805476	0.663555556	0.640235294	0.631684211	0.656888889	0.560933333	0.623129365	5.368444444	5.283588235	4.966052632	4.951833333	4.830466667	5.036523016	6.945	6.553705882	6.400157895	6.343944444	6.3614	6.393426984	5.693888889	5.620882353	5.449105263	5.250388889	4.8516	5.348186508	5.300888889	5.245764706	4.620105263	4.564388889	4.424733333	4.840357937	4.667222222	4.726176471	4.182368421	4.288388889	4.256533333	4.39878254	4.2335	4.272647059	4.177578947	4.311888889	4.259066667	4.203299206
149	2	107.2978462	227.8308235	370.2790588	507.8771667	655.0299286	95.26484615	201.9797647	330.5198235	450.955	579.4293571	1.124047097	1.130845236	1.12052634	1.127960885	1.135108641	1.128181039	128.747	142.4482353	139.226	147.8430714	140.2237206	1.361952473	0.662754741	0.384437054	0.29370949	0.644175986	4.200384615	-2.739	-5.613764706	-8.151444444	-8.273142857	-5.318214815	0.383692308	0.421588235	0.396470588	0.425222222	0.435142857	0.416693519	6.581538462	14.651	25.33329412	36.01516667	41.49471429	26.60370463	27.43561538	57.86811765	93.49911765	127.1775	168.5690714	96.63666667	0.563615385	0.709588235	0.661411765	0.720166667	0.667785714	0.679396296	5.123538462	5.005235294	4.590176471	4.713777778	4.970642857	4.854087037	6.937923077	6.106	5.618470588	5.654222222	5.7995	5.994157407	5.560846154	5.122588235	4.611823529	4.403222222	5.2135	4.917944444	4.78	4.674882353	4.198294118	4.4195	4.5965	4.501072222	4.304461538	4.458882353	4.218176471	4.526555556	4.589785714	4.422005556	4.048	4.662411765	4.306117647	4.565277778	4.654071429	4.436990741
383	5	63.937	151.2843158	277.5635556	416.04755	556.0415455	57.01558333	138.3307368	255.3818333	382.1028	508.7436364	1.13258594	1.09126427	1.084282044	1.088170636	1.094149281	1.096242629	117.9529091	125.5588235	137.6811765	143.7362	132.4402302	2.167315041	1.041227247	0.533289013	0.355324708	0.836318733	-0.489083333	-5.033578947	-6.403333333	-6.47535	-8.110590909	-5.363672727	0.300666667	0.303	0.290388889	0.29625	0.305545455	0.301376515	3.75525	6.626210526	12.33894444	19.01	25.54636364	14.318275	16.62458333	40.60736842	73.32777778	109.7076	145.2418636	87.59694167	0.557166667	0.694631579	0.623722222	0.7057	0.709	0.627731061	5.450916667	4.308368421	4.328277778	4.34695	4.272636364	4.461159848	8.147083333	5.147	4.933833333	4.78345	4.691409091	5.297252273	5.387666667	4.296842105	4.237722222	4.18695	4.034454545	4.322062121	4.960166667	4.151947368	4.094388889	4.21275	4.163909091	4.248568939	4.724916667	4.083736842	4.016444444	4.2651	4.143590909	4.207525	4.010583333	3.863736842	4.354388889	4.28555	4.329727273	4.227082576
461	1	58.66247619	175.1711739	307.2087826	414.162381	501.5606667	54.53952381	162.7118696	285.5509565	384.773619	464.4551905	1.076211159	1.072645027	1.074381628	1.075116589	1.079074261	1.074662096	129.4764	134.9906364	101.95235	102.4663684	119.4936848	3.632225912	0.982953514	0.357773395	0.258257673	1.486951164	-2.858714286	-1.678826087	-2.738695652	-4.334333333	-5.027857143	-3.380991667	0.217761905	0.238782609	0.230347826	0.247142857	0.228952381	0.23225	2.159380952	6.660826087	9.505652174	13.30904762	16.36580952	9.570532639	15.93680952	46.95847826	82.75665217	111.7539048	135.122	77.20523333	0.537333333	0.62473913	0.568695652	0.661761905	0.654238095	0.61485625	5.277047619	4.842	4.396217391	4.140380952	4.432238095	4.609921528	6.887809524	6.531565217	6.064652174	5.572238095	6.046571429	6.19515	5.780809524	5.132913043	4.512826087	4.130952381	4.217809524	4.744496528	5.142142857	4.375086957	3.898	3.649380952	3.971428571	4.202974306	4.761571429	4.148565217	3.666043478	3.597809524	3.951571429	4.021961111	3.812809524	4.027043478	3.837304348	3.751809524	3.974333333	3.884465972
936	1	58.4791	157.6638095	282.8003684	402.1901667	511.2929524	54.37665	146.5601429	264.4082105	374.4607222	478.0891905	1.083666265	1.074415283	1.068896908	1.073805129	1.069181398	1.076188394	97.89805	125.0333684	112.0929333	110.0883125	111.0431136	3.050035128	0.837722085	0.404990779	0.276682823	1.41374791	-2.9136	-4.038	-2.786157895	-2.543833333	-1.455428571	-2.962536232	0.2904	0.268666667	0.235052632	0.257222222	0.22152381	0.25833913	3.1643	7.278380952	10.00989474	13.21527778	12.41790476	9.655023913	15.6259	42.22057143	76.43494737	108.2435556	138.7317619	80.91166304	0.72205	0.713952381	0.628315789	0.686722222	0.597333333	0.652834783	4.53785	4.539333333	4.055894737	4.056333333	4.368571429	4.360314493	5.52685	6.101714286	5.526631579	5.429666667	6.016761905	5.824297101	4.90895	4.927285714	4.196	4.048555556	4.196904762	4.533577536	4.5626	4.248380952	3.577842105	3.599166667	3.883571429	3.985762319	4.22825	3.764761905	3.498368421	3.573611111	3.844	3.807065942	3.5155	3.654380952	3.481421053	3.63	3.899714286	3.660002899
1782	5	186.9950625	304.4713333	421.6553333	550.3732353	744.0740667	168.6138125	272.4811111	376.5163333	489.5627059	669.9185333	1.106413567	1.121891322	1.127377991	1.161636981	1.110866789	1.155695297	124.5332143	109.2386471	144.9596875	156.5245333	130.433588	0.697836988	0.361589226	0.334970511	0.26664062	0.398902389	2.799625	-0.144777778	-0.728944444	4.007529412	-1.693266667	3.729057937	0.337	0.379166667	0.388444444	0.396	0.335933333	0.380724603	11.3330625	15.26727778	16.91566667	19.57758824	21.341	16.83604206	48.1420625	78.45111111	109.3315556	141.7880588	194.5922667	103.6815206	0.6450625	0.657333333	0.611222222	0.474588235	0.432466667	0.55195	5.2986875	4.7845	4.571166667	4.526117647	4.283933333	4.701781746	7.2646875	6.680277778	6.282611111	5.949470588	5.516733333	6.270779365	5.7710625	4.678666667	4.450611111	4.517352941	4.105066667	4.681978571	4.659	4.324444444	4.0945	4.133529412	3.959133333	4.260134921	4.535	4.245277778	3.990388889	3.991882353	3.962133333	4.208216667	4.26975	3.994	4.039277778	4.040117647	3.877066667	4.089992063
1829	6	133.3225909	295.3278182	447.8768095	640.5513182	838.9132273	122.4782273	269.5280455	413.4083333	590.3897727	774.5552273	1.080133025	1.09300801	1.085377281	1.086471763	1.08417173	1.086368096	162.0052273	158.7791429	185.4131905	198.3619091	176.9206932	1.45490403	0.606452516	0.436428325	0.318638059	0.706547822	-7.768409091	-5.074363636	-6.183761905	-5.808181818	-4.936545455	-5.898009091	0.269636364	0.2675	0.234714286	0.242772727	0.236045455	0.251325	8.816227273	16.74895455	20.6727619	24.96286364	28.94240909	20.01771818	34.30340909	76.98636364	118.5553333	169.7953182	223.0420455	124.8340205	0.805090909	0.734636364	0.720761905	0.667681818	0.658272727	0.713715909	4.605409091	4.287363636	4.063380952	4.0485	3.998136364	4.204527273	5.344681818	5.169045455	4.943761905	4.754636364	4.526909091	4.94735	4.896227273	4.366636364	4.058	3.857772727	3.848727273	4.209904545	4.542136364	4.031227273	3.767380952	3.833227273	3.807045455	4.002652273	4.310909091	3.932363636	3.677952381	3.830681818	3.893954545	3.933772727	3.932590909	3.940636364	3.869095238	3.9655	3.914	3.929209091
1874	5	122.1672727	242.6894091	360.3072273	501.5380435	653.7875	107.0706364	213.2488636	321.8225	454.6468696	597.2345	1.142382914	1.137846104	1.119332347	1.103181177	1.094406164	1.118629484	125.4224762	118.402381	140.2509545	155.1720909	135.7720833	1.243725458	0.512086946	0.392983087	0.312475554	0.6001681	-0.649272727	0.594636364	1.672636364	2.504086957	2.752818182	1.469717391	0.357863636	0.366454545	0.333454545	0.291521739	0.268636364	0.322667391	7.541545455	10.12936364	12.18581818	15.31452174	18.86413636	12.77541739	31.1805	63.35036364	95.52463636	133.9884348	175.4449091	100.3579391	0.562863636	0.389636364	0.574772727	0.616043478	0.685681818	0.564313043	5.127636364	4.408454545	4.2405	4.237782609	4.089181818	4.429971739	7.308045455	5.939863636	5.286954545	5.06726087	4.633318182	5.666752174	5.370909091	4.263727273	4.064409091	4.041434783	3.909136364	4.34321087	4.410454545	4.041090909	3.938181818	3.991434783	3.945181818	4.070065217	4.326681818	3.948363636	3.914681818	4.007826087	3.916045455	4.026852174	4.227090909	3.843318182	3.996863636	4.082217391	4.041727273	4.042817391
2057	5	120.03835	257.6799048	400.3958	563.8695	752.4877222	111.90475	237.9414286	368.65335	520.41045	698.0217222	1.07300357	1.08436948	1.088036419	1.084543241	1.078780618	1.082436519	142.67495	142.3275	164.5858421	185.2231176	154.0764206	1.260513545	0.559184268	0.411518221	0.323183364	0.660511995	2.4861	0.602190476	-0.1378	-1.03245	-1.768722222	0.097981746	0.25435	0.287761905	0.2865	0.2763	0.248611111	0.273425397	5.7588	9.137904762	10.3099	14.6489	19.5485	11.58309048	31.989	69.45552381	107.7165	151.4984	202.2072222	108.7286238	0.6425	0.575619048	0.3973	0.54245	0.619277778	0.555969048	4.7469	4.435190476	4.3593	4.4618	4.298055556	4.475240476	5.5674	5.226857143	4.97775	4.92215	4.613055556	5.091603968	4.85165	4.46	4.19645	4.22735	4.1295	4.384883333	4.42955	4.20947619	4.14845	4.3388	4.136222222	4.261410317	4.41675	4.111285714	4.2195	4.35855	4.267	4.286959524	4.46875	4.166571429	4.2533	4.46155	4.343777778	4.350392063
