Site	Position	Sensor_name	Treatment	Color_water	Color_temp	Date
Madrid	1	A5B5	low	lightblue	red	"2015-11-16 00:00:00"
Madrid	2	A4E9	low	lightblue	red	"2015-11-16 00:00:00"
Madrid	3	A49E	low	lightblue	red	"2015-11-16 00:00:00"
Madrid	4	A0CB	low	lightblue	red	"2015-11-16 00:00:00"
Madrid	5	A25B	high	navy	darkred	"2015-11-16 00:00:00"
Madrid	6	A4CF	high	navy	darkred	"2015-11-16 00:00:00"
Madrid	7	A4EB	high	navy	darkred	"2015-11-16 00:00:00"
Madrid	8	A7AA	high	navy	darkred	"2015-11-16 00:00:00"
Madrid	9	A736	low	lightblue	red	"2015-11-16 00:00:00"
Madrid	10	A54E	low	lightblue	red	"2015-11-16 00:00:00"
Madrid	11	A270	low	lightblue	red	"2015-11-16 00:00:00"
Madrid	12	A05E	low	lightblue	red	"2015-11-16 00:00:00"
Madrid	13	A5C5	high	navy	darkred	"2015-11-16 00:00:00"
Madrid	14	A00A	high	navy	darkred	"2015-11-16 00:00:00"
Madrid	15	A4C0	high	navy	darkred	"2015-11-16 00:00:00"
Madrid	16	A23B	high	navy	darkred	"2015-11-16 00:00:00"
Madrid	out	EADE	out	darkgrey	darkgrey	"2015-11-16 00:00:00"
Tuebingen	1	A971	low	lightblue	red	"2015-10-24 00:00:00"
Tuebingen	2	A33D	low	lightblue	red	"2015-10-24 00:00:00"
Tuebingen	3	EB2E	low	lightblue	red	"2015-10-24 00:00:00"
Tuebingen	4	94BF	low	lightblue	red	"2015-10-24 00:00:00"
Tuebingen	5	A4D8	high	navy	darkred	"2015-10-24 00:00:00"
Tuebingen	6	925F	high	navy	darkred	"2015-10-24 00:00:00"
Tuebingen	7	AAFC	high	navy	darkred	"2015-10-24 00:00:00"
Tuebingen	8	A1F3	high	navy	darkred	"2015-10-24 00:00:00"
Tuebingen	9	A9B7	low	lightblue	red	"2015-10-24 00:00:00"
Tuebingen	9	E73A	low	lightblue	red	"2016-03-16 00:00:00"
Tuebingen	10	9425	low	lightblue	red	"2015-10-24 00:00:00"
Tuebingen	11	A081	low	lightblue	red	"2015-10-24 00:00:00"
Tuebingen	12	A502	low	lightblue	red	"2015-10-24 00:00:00"
Tuebingen	13	66EC	high	navy	darkred	"2015-10-24 00:00:00"
Tuebingen	14	A262	high	navy	darkred	"2015-10-24 00:00:00"
Tuebingen	15	B581	high	navy	darkred	"2015-10-24 00:00:00"
Tuebingen	15	1200	high	navy	darkred	"2016-03-16 00:00:00"
Tuebingen	16	A0ED	high	navy	darkred	"2015-10-24 00:00:00"
Tuebingen	out	E7A3	out	darkgrey	darkgrey	"2015-10-24 00:00:00"
