name	filename	Site	Position	Treatment	Color_water	Color_temp	Date
66EC	./A0143D00000C66EC.csv	Tuebingen	13	high	navy	darkred	2015-10-24 00:00:00
925F	./A0143D00000D925F.csv	Tuebingen	6	high	navy	darkred	2015-10-24 00:00:00
9425	./A0143D00000D9425.csv	Tuebingen	10	low	lightblue	red	2015-10-24 00:00:00
94BF	./A0143D00000D94BF.csv	Tuebingen	4	low	lightblue	red	2015-10-24 00:00:00
A00A	./A0143D00000CA00A.csv	Madrid	14	high	navy	darkred	2015-11-16 00:00:00
A05E	./A0143D00000CA05E.csv	Madrid	12	low	lightblue	red	2015-11-16 00:00:00
A081	./A0143D00000CA081.csv	Tuebingen	11	low	lightblue	red	2015-10-24 00:00:00
A0CB	./A0143D00000CA0CB.csv	Madrid	4	low	lightblue	red	2015-11-16 00:00:00
A0ED	./A0143D00000CA0ED.csv	Tuebingen	16	high	navy	darkred	2015-10-24 00:00:00
A1F3	./A0143D00000CA1F3.csv	Tuebingen	8	high	navy	darkred	2015-10-24 00:00:00
A23B	./A0143D00000CA23B.csv	Madrid	16	high	navy	darkred	2015-11-16 00:00:00
A25B	./A0143D00000CA25B.csv	Madrid	5	high	navy	darkred	2015-11-16 00:00:00
A262	./A0143D00000CA262.csv	Tuebingen	14	high	navy	darkred	2015-10-24 00:00:00
A270	./A0143D00000CA270.csv	Madrid	11	low	lightblue	red	2015-11-16 00:00:00
A33D	./A0143D00000CA33D.csv	Tuebingen	2	low	lightblue	red	2015-10-24 00:00:00
A49E	./A0143D00000CA49E.csv	Madrid	3	low	lightblue	red	2015-11-16 00:00:00
A4C0	./A0143D00000CA4C0.csv	Madrid	15	high	navy	darkred	2015-11-16 00:00:00
A4CF	./A0143D00000CA4CF.csv	Madrid	6	high	navy	darkred	2015-11-16 00:00:00
A4D8	./A0143D00000CA4D8.csv	Tuebingen	5	high	navy	darkred	2015-10-24 00:00:00
A4E9	./A0143D00000CA4E9.csv	Madrid	2	low	lightblue	red	2015-11-16 00:00:00
A4EB	./A0143D00000CA4EB.csv	Madrid	7	high	navy	darkred	2015-11-16 00:00:00
A502	./A0143D00000CA502.csv	Tuebingen	12	low	lightblue	red	2015-10-24 00:00:00
A54E	./A0143D00000CA54E.csv	Madrid	10	low	lightblue	red	2015-11-16 00:00:00
A5B5	./A0143D00000CA5B5.csv	Madrid	1	low	lightblue	red	2015-11-16 00:00:00
A5C5	./A0143D00000CA5C5.csv	Madrid	13	high	navy	darkred	2015-11-16 00:00:00
A736	./A0143D000008A736.csv	Madrid	9	low	lightblue	red	2015-11-16 00:00:00
A7AA	./A0143D00000CA7AA.csv	Madrid	8	high	navy	darkred	2015-11-16 00:00:00
A971	./A0143D00000CA971.csv	Tuebingen	1	low	lightblue	red	2015-10-24 00:00:00
A9B7	./A0143D000008A9B7.csv	Tuebingen	9	low	lightblue	red	2015-10-24 00:00:00
AAFC	./A0143D000008AAFC.csv	Tuebingen	7	high	navy	darkred	2015-10-24 00:00:00
B581	./A0143D000008B581.csv	Tuebingen	15	high	navy	darkred	2015-10-24 00:00:00
E73A	./A0143D00000CE73A.csv	Tuebingen	9	low	lightblue	red	2016-03-16 00:00:00
E7A3	./A0143D00000CE7A3.csv	Tuebingen	out	out	darkgrey	darkgrey	2015-10-24 00:00:00
EADE	./A0143D00000CEADE.csv	Madrid	out	out	darkgrey	darkgrey	2015-11-16 00:00:00
EB2E	./A0143D00000CEB2E.csv	Tuebingen	3	low	lightblue	red	2015-10-24 00:00:00
