pathimage	site	totarea	sk	bp	ep	datelabeled	tray	pos	organ	indpop	num
../data/field_tuebingen_harvesting/2016_03_18/P1060503.JPG	tuebingen	342638	45156	4290	357	2017-03-13_13:07:25	181	b1	r	p	24
../data/field_tuebingen_harvesting/2016_03_18/P1060504.JPG	tuebingen	547751	67074	2643	497	2017-03-13_13:07:28	181	b1	i	p	24
../data/field_tuebingen_harvesting/2016_03_18/P1060505.JPG	tuebingen	531528	71006	3153	501	2017-07-03_18:23:24	181	b1	i	p	24
../data/field_tuebingen_harvesting/2016_03_18/P1060506.JPG	tuebingen	544339	71374	3148	472	2017-07-03_18:23:49	181	b1	i	p	24
../data/field_tuebingen_harvesting/2016_03_21/P1060507.JPG	tuebingen	375628	60870	4517	340	2017-03-13_13:08:29	225	a6	r	p	22
../data/field_tuebingen_harvesting/2016_03_21/P1060508.JPG	tuebingen	390690	58526	3612	353	2017-07-03_18:24:05	225	a6	r	p	22
../data/field_tuebingen_harvesting/2016_03_21/P1060509.JPG	tuebingen	390855	60556	4609	355	2017-07-03_18:24:13	225	a6	r	p	22
../data/field_tuebingen_harvesting/2016_03_21/P1060510.JPG	tuebingen	222875	38132	2293	562	2017-07-03_18:24:20	225	a6	i	p	22
../data/field_tuebingen_harvesting/2016_03_21/P1060512.JPG	tuebingen	5254	816	201	19	2017-03-13_13:50:45	120	c3	r	i	NA
../data/field_tuebingen_harvesting/2016_03_21/P1060513.JPG	tuebingen	9880	2007	202	20	2017-03-13_13:50:49	120	c3	i	i	NA
../data/field_tuebingen_harvesting/2016_03_21/P1060514.JPG	tuebingen	807787	100453	8981	851	2017-03-13_13:19:11	187	a6	r	p	20
../data/field_tuebingen_harvesting/2016_03_21/P1060515.JPG	tuebingen	485781	68581	4141	469	2017-07-03_18:24:28	187	a6	i	p	20
../data/field_tuebingen_harvesting/2016_03_21/P1060516.JPG	tuebingen	465186	64304	3772	485	2017-03-13_13:50:59	187	a6	i	p	20
../data/field_tuebingen_harvesting/2016_04_11/P1060517.JPG	tuebingen	338744	46958	4030	405	2017-03-13_13:51:06	245	a4	r	p	14
../data/field_tuebingen_harvesting/2016_04_11/P1060518.JPG	tuebingen	338779	46730	3792	393	2017-03-13_13:51:14	245	a4	i	p	14
../data/field_tuebingen_harvesting/2016_04_11/P1060519.JPG	tuebingen	810138	130049	3946	837	2017-03-13_13:52:00	245	a4	r	p	14
../data/field_tuebingen_harvesting/2016_04_11/P1060520.JPG	tuebingen	217086	31502	2400	368	2017-03-13_13:52:06	175	b2	r	p	15
../data/field_tuebingen_harvesting/2016_04_11/P1060521.JPG	tuebingen	574176	96327	2384	594	2017-03-13_13:52:14	175	b2	i	p	15
../data/field_tuebingen_harvesting/2016_04_11/P1060522.JPG	tuebingen	436709	70834	6956	558	2017-03-13_13:52:18	245	b8	r	p	24
../data/field_tuebingen_harvesting/2016_04_11/P1060523.JPG	tuebingen	706360	119165	4180	768	2017-03-13_13:52:20	245	b8	i	p	24
../data/field_tuebingen_harvesting/2016_04_11/P1060524.JPG	tuebingen	208186	36264	3928	348	2017-03-13_13:52:27	174	e4	r	p	19
../data/field_tuebingen_harvesting/2016_04_11/P1060525.JPG	tuebingen	590754	108610	3152	703	2017-03-13_13:52:29	174	e4	i	p	19
../data/field_tuebingen_harvesting/2016_04_11/P1060526.JPG	tuebingen	420893	76729	8448	642	2017-03-13_13:52:34	241	a2	r	p	23
../data/field_tuebingen_harvesting/2016_04_11/P1060528.JPG	tuebingen	772204	121121	5249	840	2017-03-13_13:52:36	241	a2	i	p	23
../data/field_tuebingen_harvesting/2016_04_11/P1060529.JPG	tuebingen	545171	91108	9145	767	2017-03-13_13:52:43	240	a4	r	p	23
../data/field_tuebingen_harvesting/2016_04_11/P1060530.JPG	tuebingen	868792	146090	4906	965	2017-03-13_13:52:45	240	a4	i	p	23
../data/field_tuebingen_harvesting/2016_04_11/P1060531.JPG	tuebingen	466902	58832	4956	531	2017-03-13_13:52:51	175	c8	r	p	16
../data/field_tuebingen_harvesting/2016_04_11/P1060533.JPG	tuebingen	576966	81560	2327	507	2017-03-13_13:52:53	175	c8	i	p	16
