pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num,i.pred,r.pred,pred
../data/field_madrid_harvesting/2016_318/P1080669.JPG,madrid,53510,8942,356,52,Rocio,137,c8,i,i,1,0.818,0.182,r
../data/field_madrid_harvesting/2016_321/P1080752.JPG,madrid,94014,12429,501,65,Rocio,121,a4,i,i,1,0.816,0.184,r
../data/field_madrid_harvesting/2016_330/P1080851.JPG,madrid,92964,9912,333,65,Rocio,47,a7,i,p,2,0.802,0.198,r
../data/field_madrid_harvesting/2016_330/P1080875.JPG,madrid,26068,3381,134,19,Rocio,147,d4,i,i,1,0.814,0.186,r
../data/field_madrid_harvesting/2016_404/P1080978.JPG,madrid,520514,82817,5913,630,Rocio,178,a4,r,p,22,0.196,0.804,i
../data/field_madrid_harvesting/2016_408/P1090166.JPG,madrid,21118,3260,153,20,Rocio,154,d1,r,i,1,0.154,0.846,i
../data/field_madrid_harvesting/2016_408/P1090181.JPG,madrid,82447,16408,298,71,Rocio,152,c8,i,i,1,0.812,0.188,r
../data/field_madrid_harvesting/2016_408/P1090218.JPG,madrid,146296,24680,789,131,Rocio,84,e4,i,i,1,0.814,0.186,r
../data/field_madrid_harvesting/2016_411/P1090305.JPG,madrid,202842,31762,1133,153,Rocio,103,c4,i,i,1,0.81,0.19,r
../data/field_madrid_harvesting/2016_411/P1090327.JPG,madrid,152568,28115,1241,173,Rocio,74,d5,i,i,1,0.804,0.196,r
../data/field_madrid_harvesting/2016_411/P1090355.JPG,madrid,132092,21810,785,102,Rocio,91,d5,i,i,1,0.81,0.19,r
../data/field_madrid_harvesting/2016_411/P1090359.JPG,madrid,85467,15327,625,64,Rocio,78,d4,i,i,1,0.808,0.192,r
../data/field_madrid_harvesting/2016_414/P1090891.JPG,madrid,169081,15204,494,79,Rocio,155,c1,i,i,1,0.808,0.192,r
../data/field_madrid_harvesting/2016_415/P1100075.JPG,madrid,24936,2841,102,16,Rocio,130,c3,i,i,1,0.818,0.182,r
../data/field_madrid_harvesting/2016_415/P1100128.JPG,madrid,492650,66555,3221,520,Rocio,215,b6,r,p,29,0.192,0.808,i
../data/field_madrid_harvesting/2016_418/P1100184.JPG,madrid,61877,9917,130,29,Rocio,155,d8,i,i,1,0.814,0.186,r
../data/field_madrid_harvesting/2016_418/P1100186.JPG,madrid,68117,11909,206,37,Rocio,108,a6,i,i,1,0.814,0.186,r
../data/field_madrid_harvesting/2016_418/P1100187.JPG,madrid,75314,8294,231,69,Rocio,108,a6,r,i,1,0.188,0.812,i
../data/field_madrid_harvesting/2016_418/P1100190.JPG,madrid,212177,31049,659,155,Rocio,107,b5,i,i,1,0.81,0.19,r
../data/field_madrid_harvesting/2016_418/P1100192.JPG,madrid,129245,21748,519,84,Rocio,107,c1,i,i,1,0.808,0.192,r
../data/field_madrid_harvesting/2016_418/P1100194.JPG,madrid,161866,25666,622,107,Rocio,107,c5,i,i,1,0.814,0.186,r
../data/field_madrid_harvesting/2016_418/P1100209.JPG,madrid,59299,7371,201,55,Rocio,102,d1,r,i,1,0.172,0.828,i
../data/field_madrid_harvesting/2016_420/P1100783.JPG,madrid,508007,57814,1604,437,Rocio,205,c1,i,p,2,0.822,0.178,r
../data/field_madrid_harvesting/2016_422/P1110151.JPG,madrid,25271,2947,34,27,Rocio,102,b2,r,i,1,0.198,0.802,i
../data/field_madrid_harvesting/2016_425/P1110305.JPG,madrid,81138,12928,512,65,Rocio,258,b2,r,i,1,0.194,0.806,i
../data/field_madrid_harvesting/2016_426/P1110609.JPG,madrid,682151,72796,5289,583,Rocio,184,a3,r,p,7,0.186,0.814,i
../data/field_madrid_harvesting/2016_427/P1110931.JPG,madrid,70925,12068,143,31,Rocio,70,b2,i,p,8,0.804,0.196,r
../data/field_madrid_harvesting/2016_427/P1110975.JPG,madrid,79534,15412,490,75,Rocio,27,b5,i,p,3,0.802,0.198,r
../data/field_madrid_harvesting/2016_427/P1110985.JPG,madrid,58064,8958,194,51,Rocio,26,c6,i,p,2,0.806,0.194,r
../data/field_madrid_harvesting/2016_427/P1110987.JPG,madrid,113594,14996,299,51,Rocio,25,a2,i,p,4,0.808,0.192,r
../data/field_madrid_harvesting/2016_427/P1120017.JPG,madrid,66131,10712,437,49,Rocio,22,d6,r,p,3,0.178,0.822,i
../data/field_madrid_harvesting/2016_427/P1120065.JPG,madrid,42234,6505,293,45,Rocio,51,a2,r,p,7,0.192,0.808,i
../data/field_madrid_harvesting/2016_428/P1120168.JPG,madrid,259730,22001,600,172,Rocio,86,e6,i,i,1,0.814,0.186,r
../data/field_madrid_harvesting/2016_428/P1120241.JPG,madrid,117591,15368,422,64,Rocio,89,b2,r,i,1,0.192,0.808,i
../data/field_madrid_harvesting/2016_428/P1120243.JPG,madrid,98064,9969,334,76,Rocio,89,c1,r,i,1,0.192,0.808,i
../data/field_madrid_harvesting/2016_428/P1120273.JPG,madrid,103276,9550,414,61,Rocio,77,d7,r,i,1,0.176,0.824,i
../data/field_madrid_harvesting/2016_428/P1120276.JPG,madrid,20985,2667,40,16,Rocio,91,b6,i,i,1,0.808,0.192,r
../data/field_madrid_harvesting/2016_428/P1120282.JPG,madrid,54032,7155,204,49,Rocio,92,b1,i,i,1,0.808,0.192,r
../data/field_madrid_harvesting/2016_428/P1120289.JPG,madrid,70971,6427,196,63,Rocio,79,a6,r,i,1,0.192,0.808,i
../data/field_madrid_harvesting/2016_428/P1120343.JPG,madrid,107462,14472,340,91,Rocio,94,b1,i,i,1,0.806,0.194,r
../data/field_madrid_harvesting/2016_428/P1120380.JPG,madrid,40308,3420,145,24,Rocio,95,c8,r,i,1,0.184,0.816,i
../data/field_madrid_harvesting/2016_428/P1120404.JPG,madrid,63902,9216,276,38,Rocio,96,b6,r,i,1,0.184,0.816,i
../data/field_madrid_harvesting/2016_428/P1120435.JPG,madrid,115598,14394,102,46,Rocio,83,d1,i,i,1,0.812,0.188,r
../data/field_madrid_harvesting/2016_429/P1120510.JPG,madrid,43175,3472,101,30,Rocio,125,c3,i,i,1,0.808,0.192,r
../data/field_madrid_harvesting/2016_429/P1120538.JPG,madrid,142671,14476,487,110,Rocio,126,e5,i,i,1,0.808,0.192,r
