"","id","latitude.x","longitude.x","kgroup","X6.5","X14.5","X18.5","X20.5","X22.5","X25.5","X27.5","X29.5","X32.5","X34.5","X36.5","X39.5","X42.5","X47.5","X49.5","X53.5","X57.5","X62.5","X69.5","peakday","peakvalue","endday","endvalue","lm.r","lm.a","lm.b","exp.r","exp.a","exp.b","pol.r","pol.a","pol.b","pol.c","pol.d"
"1",159,47.35,3.93333,9,2333.5,11580.25,36988.5,57303.75,88158.75,138551.75,165092.75,197452.75,213687.5,220724,229654.75,234887.25,183333.75,84843.75,42676,10843.25,2801,1105.75,3.5,37.75,242046.25,69.5,3.5,0.670347638167384,492993.834481023,-7992.91060771886,0.824227201614202,28.1265565393879,-0.392776668413287,0.94818749936819,3196218.97195746,-134955.340165123,1852.22778568518,-8.21842311397813
"2",265,44.65,-1.16667,9,1127.4,7040,21923.6,35774.4,49393.2,76817.8,80307.4,85194.6,90976.2,99257.2,98496,80508.2,55351.2,22594,18031,6505.4,5136.4,3507.8,277.2,36.7,113286.2,69.5,277.2,0.644868148365242,204614.261713604,-3342.76593802617,0.719129090655,21.407712821363,-0.250096562065555,0.947437870938393,1529835.04591226,-73438.0971213635,1178.88684873064,-6.31475965132813
"3",763,42.3,74.3667,7,2359.4,13561.2,34405.6,47422.4,59380.2,61833.4,72642.4,59266.6,59625,58617.4,59987.2,54237.4,39241.6,16241.8,10497.2,1268.6,140.2,123,10,29.5,97936.6,69.5,10,0.579954548843997,157086.539986178,-2639.99438189488,0.84657143648599,20.6976310432889,-0.277467647334342,0.851602102965469,836812.827626264,-38530.1362176433,590.194777154768,-3.00860640533424
"4",765,42.1833,73.4,7,1389,14005.6666666667,43632.3333333333,64034,91664.6666666667,110530.666666667,111466.333333333,117059,110193.666666667,112638.333333333,125712.666666667,112739,116186.666666667,96255,71094,26230.6666666667,8647.66666666667,5184.33333333333,385,30.5,149756.666666667,69.5,385,0.865793529759957,298737.633289967,-4632.12942219555,0.809944489694111,19.266887952741,-0.207573560122431,0.905487636300574,-842588.79813869,66667.579518588,-1448.15201952906,9.54589738084177
"5",766,42.5833,73.6333,7,865,10409.5,28443.5,38789.8333333333,60742.8333333333,90776.8333333333,109289.333333333,129177,153949.333333333,165699.666666667,168023.666666667,159174.333333333,144676.5,69641.5,51652.8333333333,11672.3333333333,269.333333333333,262.166666666667,59.3333333333333,38.1666666666667,178996.333333333,69.5,59.3333333333333,0.693872627099132,394165.85925481,-6366.03554135631,0.80998712569162,29.2938435348946,-0.417889381935133,0.911511866931403,23523.9408568117,28425.4626060797,-926.568441804581,7.39253121099859
"6",768,42.8,76.35,7,2817.28571428571,8795.28571428571,29464.1428571429,44371.2857142857,60622.1428571429,97640.7142857143,118961.142857143,132431.428571429,131677.285714286,141891.428571429,143629.142857143,137912.285714286,112170,40038.5714285714,26801.2857142857,14782.8571428571,9039.14285714286,2585.14285714286,NA,33.0714285714286,165081.142857143,67.5,1392.57142857143,0.472973432478061,325893.580278044,-5369.07634898506,0.657340789469327,21.1438897509682,-0.264786370368829,0.798225724619319,1039709.723508,-34184.6795439661,280.440058293856,0.0125281739588693
"7",772,37.35,72.4667,7,959.5,7234.25,19755.5,24082.5,35090.5,42430.5,49032.5,53107.25,59016.75,60663.5,60381.5,64767.5,55827.5,29228,16432.25,2621.25,471.75,60.5,85.5,34.75,73180,69.5,85.5,0.652946817667319,149367.502679848,-2428.90800339794,0.872546543730308,22.8796952208904,-0.308858290933726,0.929199440213403,649751.272653396,-24237.1610470145,275.744056408643,-0.881761924513559
"8",5151,52.2,-1.7,1,1461.71428571429,10501,32276.7142857143,44573,62333.8571428571,99480.2857142857,117585,134579.571428571,153794.857142857,153878.428571429,159576.857142857,169125.857142857,160485.714285714,69696,57872.5714285714,16029.5714285714,7320.42857142857,5761.85714285714,869.428571428571,38.0714285714286,184188,69.5,869.428571428571,0.730790567983717,418066.0374,-6696.11552433258,0.907766501563964,24.7505406097477,-0.316600344205435,0.90033451957596,2075567.09740577,-75789.4437598373,828.419898081836,-2.39068777674899
"9",5165,51.3,0.4,9,2142.75,9005.25,29074.75,45810.5,69952.25,105187.5,126384,155395.5,175426.75,169503.25,172176.75,152457,118114.25,57285,44223.75,7091,4131.25,2561.75,112,35.75,185207.75,69.5,112,0.74077951043761,351077.364042128,-5678.30549672441,0.882563591907536,22.8548985318647,-0.2737189193587,0.935797694976559,1860079.83693563,-78034.3128563608,1071.57871318999,-4.79891060531955
"10",5768,54.1,-1.5,9,2064.75,6841,24482.25,36073.5,51340.75,90615.75,102648.5,110597.75,126591,137741.75,142751.5,158157.75,151942.5,72428,40092.75,6048.5,2326.25,548,115.75,38,168618.25,69.5,115.75,0.527089962596949,343176.366809357,-5518.86965419842,0.844533535861243,21.8261332470449,-0.246451148163515,0.809781655947046,3553451.80437538,-163118.71327878,2484.94215549072,-12.5666716313375
"11",5772,54.1,-2.3,9,4050.33333333333,15318,47100,77806.6666666667,112610,150314.666666667,173302.666666667,180525.333333333,188396.333333333,162675,175448.666666667,158443.666666667,93583.3333333333,14835.6666666667,12227.6666666667,5419.33333333333,1721,770.666666666667,153.666666666667,32.1666666666667,192956.666666667,69.5,153.666666666667,0.742144257709077,360913.15109347,-6010.37445061495,0.926751388494141,22.3684367359134,-0.290896971268797,0.911726294590833,817332.203875951,-20797.6702820877,15.8251640633205,1.66726735037038
"12",5784,56.4,-5.2,9,1308,7482.42857142857,20376.5714285714,31021.7142857143,46331.7142857143,78174.5714285714,93353,117449.714285714,128311.714285714,131731.142857143,133988.714285714,122580.857142857,100892.285714286,34487.1428571429,28322,12711.2857142857,4131.71428571429,3331.71428571429,798.571428571429,36.3571428571429,151430.857142857,69.5,798.571428571429,0.701506465717767,313105.070493383,-5093.41826372398,0.843569606327938,22.71941702192,-0.288633473452619,0.920774459867158,1651861.53049112,-67757.9331179517,894.466710671504,-3.7490741600399
"13",5811,52.9,-3.1,9,1050.85714285714,12962.7142857143,36923.5714285714,50026.7142857143,69830.4285714286,86511.4285714286,90861.4285714286,79030.5714285714,71453.2857142857,68859.8571428571,71810.4285714286,56722.2857142857,41825.8571428571,13165.4285714286,4008.14285714286,2951.28571428571,1927.85714285714,1633,160.857142857143,31.6428571428571,99360,69.5,160.857142857143,0.406051536567178,162843.804747348,-2724.10558123094,0.648902495305844,17.8831001859729,-0.264004988153795,0.787628648115664,1148947.69090733,-56018.9252803847,909.98122104891,-4.91856548057834
"14",6025,62.6437,17.7339,11,2818.625,14055,30282.625,NA,49494.125,68498.75,82150.25,93593.125,107812.625,107294.75,115715.5,115467.625,109342.625,84305.25,72797.75,54024,19054.625,8745.125,758.75,34,133167,69.5,758.75,0.788736376138818,289830.44426347,-4398.20668336363,0.796548409968751,19.0747325889395,-0.193665034868522,0.927012796360409,-139093.435244962,25877.5146019399,-669.239826144596,4.68655628182917
"15",6040,55.66,13.4,6,359.75,4635.5,15948.25,NA,43991.75,84706,110521,148591.5,180583.25,200254.5,214021.25,200207.75,168897.75,114571.5,37018.5,6242.5,4806.25,2500.25,123,38.75,218969,69.5,123,0.666613053633195,471213.141099476,-7608.11788867279,0.923492462112262,26.5633283223307,-0.343621104622509,0.874028469768546,1699019.19747646,-55575.5254497034,470.083395475324,-0.30297346679465
"16",6073,56.1481,15.8155,3,1210.57142857143,10723.1428571429,34746.8571428571,46759.2857142857,63648.5714285714,109421.142857143,133631.714285714,150674.428571429,165568.428571429,177007.571428571,182272.428571429,199158,201639,121842.428571429,69399.5714285714,26659.1428571429,11157,6025.28571428571,161.714285714286,41.2142857142857,207380.285714286,69.5,161.714285714286,0.679596673454834,468856.398181268,-7403.61061653878,0.845170729662669,26.8722367868242,-0.33617968074933,0.90791203089174,2521861.04134272,-96837.0533039626,1177.61695884307,-4.39804560266231
"17",6074,56.4573,16.1408,3,1628,8990.42857142857,25554.8571428571,37424.4285714286,51991.5714285714,77780.4285714286,86765,85741.2857142857,90543.5714285714,98367.4285714286,105653.571428571,108492.714285714,114956.142857143,68847.2857142857,29044.2857142857,8911.42857142857,3433.28571428571,1235.14285714286,NA,34.5,140222,68.5,864.571428571429,0.53702545629209,317726.574121861,-5209.62836943848,0.843685264944994,21.9817857309015,-0.298856926029792,0.87753709976754,3830905.46481783,-180891.375268686,2852.60627953332,-15.0410658806619
"18",6108,55.7989,13.1206,1,2279,16280.6666666667,40631.1666666667,52954.8333333333,68721,99416.8333333333,108813.166666667,115529.833333333,127731,126185,132543.833333333,130147.5,121489.833333333,43000.5,38485.1666666667,14527.6666666667,3031,873.833333333333,244.666666666667,34.6666666666667,151753.5,69.5,244.666666666667,0.713906671053735,331331.778899732,-5373.13100366723,0.830449287178383,22.4363991395637,-0.288604353647694,0.888472830817603,-938776.872570584,74749.6295662766,-1670.04599780459,11.3704034299141
"19",6145,55.9497,13.5533,6,187,5275.5,17156.5,21956,29627,41871.5,51728,66056.5,72545.5,64284,59586.5,62706.5,63320.5,35936,33293,29013.5,21914,95,0,36,97783.5,69.5,0,0.594680599916736,178072.82536919,-2767.44539052922,0.782353289431927,25.9593389052174,-0.380255740685917,0.877447295736493,990284.567934222,-46888.7163495219,773.099929115214,-4.37739765406555
