qp	pos	id	rep	trayid	indpop	water	FT.q	FT.date	FT.dif
100	a2	9834	2	28_i_l	i	l	0	NA	NA
100	a3	9790	2	28_i_l	i	l	0	NA	NA
100	a4	6987	2	28_i_l	i	l	1	2016-02-22	98
100	a5	9697	2	28_i_l	i	l	1	2016-03-17	122
100	a6	9540	2	28_i_l	i	l	1	2016-03-18	123
100	a7	8214	2	28_i_l	i	l	1	2016-03-02	107
100	b1	9649	2	28_i_l	i	l	0	NA	NA
100	b2	9610	2	28_i_l	i	l	1	2016-03-01	106
100	b3	9748	2	28_i_l	i	l	1	2016-03-22	127
100	b4	9336	2	28_i_l	i	l	1	2016-03-18	123
100	b5	7280	2	28_i_l	i	l	1	2016-03-28	133
100	b6	9625	2	28_i_l	i	l	1	2016-03-18	123
100	b7	9928	2	28_i_l	i	l	1	2016-03-11	116
100	b8	7130	2	28_i_l	i	l	1	2016-03-18	123
100	c1	7081	2	28_i_l	i	l	1	2016-02-23	99
100	c2	9887	2	28_i_l	i	l	0	NA	NA
100	c3	9791	2	28_i_l	i	l	1	2016-03-14	119
100	c4	8230	2	28_i_l	i	l	1	2016-03-18	123
100	c5	9554	2	28_i_l	i	l	1	2016-03-14	119
100	c6	9835	2	28_i_l	i	l	1	2016-03-11	116
100	c7	6961	2	28_i_l	i	l	1	2016-03-01	106
100	c8	9529	2	28_i_l	i	l	1	2016-03-03	108
100	d1	9920	2	28_i_l	i	l	1	2016-03-08	113
100	d2	6097	2	28_i_l	i	l	0	NA	NA
100	d3	9546	2	28_i_l	i	l	0	NA	NA
100	d4	9726	2	28_i_l	i	l	1	2016-03-08	113
100	d5	9870	2	28_i_l	i	l	1	2016-03-18	123
100	d6	9855	2	28_i_l	i	l	1	2016-02-25	101
100	d7	9543	2	28_i_l	i	l	0	NA	NA
100	d8	403	2	28_i_l	i	l	1	2016-03-02	107
100	e2	8357	2	28_i_l	i	l	0	NA	NA
100	e3	7208	2	28_i_l	i	l	0	NA	NA
100	e4	9947	2	28_i_l	i	l	0	NA	NA
100	e5	9584	2	28_i_l	i	l	0	NA	NA
100	e6	9758	2	28_i_l	i	l	1	2016-04-07	143
100	e7	9536	2	28_i_l	i	l	0	NA	NA
101	a2	1890	2	29_i_l	i	l	1	2016-03-03	108
101	a3	6112	2	29_i_l	i	l	0	NA	NA
101	a4	9886	2	29_i_l	i	l	0	NA	NA
101	a5	9640	2	29_i_l	i	l	1	2016-03-14	119
101	a6	932	2	29_i_l	i	l	1	2016-03-14	119
101	a7	9762	2	29_i_l	i	l	1	2016-03-25	130
101	b1	5772	2	29_i_l	i	l	1	2016-03-03	108
101	b2	5165	2	29_i_l	i	l	1	2016-03-18	123
101	b3	9771	2	29_i_l	i	l	1	2016-03-14	119
101	b4	915	2	29_i_l	i	l	0	NA	NA
101	b5	9894	2	29_i_l	i	l	1	2016-03-17	122
101	b6	7296	2	29_i_l	i	l	1	2016-03-17	122
101	b7	9992	2	29_i_l	i	l	1	2016-03-25	130
101	b8	6025	2	29_i_l	i	l	1	2016-03-14	119
101	c1	9548	2	29_i_l	i	l	0	NA	NA
101	c2	9577	2	29_i_l	i	l	1	2016-03-31	136
101	c3	9544	2	29_i_l	i	l	1	2016-02-23	99
101	c4	7288	2	29_i_l	i	l	1	2016-03-17	122
101	c5	6106	2	29_i_l	i	l	1	2016-03-28	133
101	c6	9874	2	29_i_l	i	l	0	NA	NA
101	c7	6911	2	29_i_l	i	l	0	NA	NA
101	c8	9900	2	29_i_l	i	l	1	2016-02-08	84
101	d1	9723	2	29_i_l	i	l	1	2016-03-08	113
101	d2	9660	2	29_i_l	i	l	0	NA	NA
101	d3	7416	2	29_i_l	i	l	1	2016-03-28	133
101	d4	9656	2	29_i_l	i	l	1	2016-03-10	115
