qp	pos	id	rep	trayid	row	col	indpop	water	FT.q	FT.date	FT.dif
1	a2	9739	1	1_p_l	a	2	p	l	0	NA	NA
1	a3	9910	1	1_p_l	a	3	p	l	0	NA	NA
1	a4	9641	1	1_p_l	a	4	p	l	0	NA	NA
1	a5	7008	1	1_p_l	a	5	p	l	0	NA	NA
1	a6	9714	1	1_p_l	a	6	p	l	0	NA	NA
1	a7	9314	1	1_p_l	a	7	p	l	0	NA	NA
1	b1	9638	1	1_p_l	b	1	p	l	0	NA	NA
1	b2	7130	1	1_p_l	b	2	p	l	1	2016-03-23	153
1	b3	9057	1	1_p_l	b	3	p	l	0	NA	NA
1	b4	9741	1	1_p_l	b	4	p	l	0	NA	NA
1	b5	5800	1	1_p_l	b	5	p	l	1	2016-03-17	147
1	b6	9399	1	1_p_l	b	6	p	l	0	NA	NA
1	b7	9787	1	1_p_l	b	7	p	l	0	NA	NA
1	b8	6198	1	1_p_l	b	8	p	l	0	NA	NA
1	c1	9738	1	1_p_l	c	1	p	l	0	NA	NA
1	c2	6097	1	1_p_l	c	2	p	l	1	2016-03-23	153
1	c3	9363	1	1_p_l	c	3	p	l	0	NA	NA
1	c4	7255	1	1_p_l	c	4	p	l	0	NA	NA
1	c5	9833	1	1_p_l	c	5	p	l	0	NA	NA
1	c6	9736	1	1_p_l	c	6	p	l	0	NA	NA
1	c7	9526	1	1_p_l	c	7	p	l	0	NA	NA
1	c8	6210	1	1_p_l	c	8	p	l	0	NA	NA
1	d1	9881	1	1_p_l	d	1	p	l	0	NA	NA
1	d2	6188	1	1_p_l	d	2	p	l	0	NA	NA
1	d3	9795	1	1_p_l	d	3	p	l	0	NA	NA
1	d4	6112	1	1_p_l	d	4	p	l	0	NA	NA
1	d5	7036	1	1_p_l	d	5	p	l	0	NA	NA
1	d6	9510	1	1_p_l	d	6	p	l	0	NA	NA
1	d7	766	1	1_p_l	d	7	p	l	0	NA	NA
1	d8	9625	1	1_p_l	d	8	p	l	0	NA	NA
1	e2	5486	1	1_p_l	e	2	p	l	0	NA	NA
1	e3	9873	1	1_p_l	e	3	p	l	0	NA	NA
1	e4	9897	1	1_p_l	e	4	p	l	0	NA	NA
1	e5	7288	1	1_p_l	e	5	p	l	0	NA	NA
1	e6	9906	1	1_p_l	e	6	p	l	0	NA	NA
1	e7	9644	1	1_p_l	e	7	p	l	0	NA	NA
10	a2	6940	1	10_p_l	a	2	p	l	0	NA	NA
10	a3	6189	1	10_p_l	a	3	p	l	0	NA	NA
10	a4	6105	1	10_p_l	a	4	p	l	1	2016-03-29	159
10	a5	9556	1	10_p_l	a	5	p	l	1	2016-02-25	126
10	a6	7147	1	10_p_l	a	6	p	l	0	NA	NA
10	a7	9784	1	10_p_l	a	7	p	l	0	NA	NA
10	b1	932	1	10_p_l	b	1	p	l	1	2016-03-23	153
10	b2	9804	1	10_p_l	b	2	p	l	0	NA	NA
10	b3	9920	1	10_p_l	b	3	p	l	0	NA	NA
10	b4	8311	1	10_p_l	b	4	p	l	1	2016-03-08	138
10	b5	9744	1	10_p_l	b	5	p	l	0	NA	NA
10	b6	7181	1	10_p_l	b	6	p	l	0	NA	NA
10	b7	9565	1	10_p_l	b	7	p	l	0	NA	NA
10	b8	9718	1	10_p_l	b	8	p	l	0	NA	NA
10	c1	9992	1	10_p_l	c	1	p	l	0	NA	NA
10	c2	9933	1	10_p_l	c	2	p	l	0	NA	NA
10	c3	9885	1	10_p_l	c	3	p	l	0	NA	NA
10	c4	9847	1	10_p_l	c	4	p	l	0	NA	NA
10	c5	7218	1	10_p_l	c	5	p	l	0	NA	NA
10	c6	9886	1	10_p_l	c	6	p	l	0	NA	NA
10	c7	9416	1	10_p_l	c	7	p	l	0	NA	NA
10	c8	9576	1	10_p_l	c	8	p	l	0	NA	NA
10	d1	5349	1	10_p_l	d	1	p	l	1	2016-03-30	160
10	d2	9559	1	10_p_l	d	2	p	l	0	NA	NA
10	d3	9918	1	10_p_l	d	3	p	l	0	NA	NA
10	d4	9894	1	10_p_l	d	4	p	l	0	NA	NA
10	d5	7072	1	10_p_l	d	5	p	l	0	NA	NA
10	d6	9892	1	10_p_l	d	6	p	l	1	2016-03-30	160
