id	name	country	latitude	longitude
159	MAR2-3	FRA	47.35	3.93333
265	PYL-6	FRA	44.65	-1.16667
403	Zdarec3	CZE	49.3667	16.2667
763	Kar-1	KGZ	42.3	74.3667
765	Sus-1	KGZ	42.1833	73.4
766	Dja-1	KGZ	42.5833	73.6333
768	Zal-1	KGZ	42.8	76.35
772	Neo-6	TJK	37.35	72.4667
801	KYC-33	USA	37.9169	-84.4639
915	LIN	USA	41.8972	-71.4378
932	CHA-41	USA	42.3634	-71.1445
1552	Sku-30	SWE	63.0833	18.3667
1890	MNF-Riv-21	USA	43.5139	-86.1859
1954	MNF-Jac-12	USA	43.5187	-86.1739
2317	Ste-40	USA	42.03	-86.514
4958	UKSW06-360	UK	50.5	-4.5
5151	UKSE06-325	UK	52.2	-1.7
5165	UKSE06-362	UK	51.3	0.4
5349	UKSE06-639	UK	51.1	0.4
5353	UKNW06-003	UK	54.5	-3
5486	UKNW06-233	UK	54.6	-3.3
5577	UKNW06-403	UK	54.7	-3.4
5741	For-2	UK	56.6	-4.1
5768	UKID63	UK	54.1	-1.5
5772	Set-1	UK	54.1	-2.3
5779	UKID74	UK	51	-3.1
5784	Ty-1	UK	56.4	-5.2
5800	UKID96	UK	57.4	-5.5
5811	UKID107	UK	52.9	-3.1
5856	Dör-10	SWE	63.0167	17.4914
6008	Duk	CZE	49.1	16.2
6025	Gro-3	SWE	62.6437	17.7339
6040	Kni-1	SWE	55.66	13.4
6042	Lom1-1	SWE	56.09	13.9
6073	ÖMö1-7	SWE	56.1481	15.8155
6074	Ör-1	SWE	56.4573	16.1408
6085	Sparta-1	SWE	55.7097	13.2145
6090	T1000	SWE	55.6525	13.2197
6092	T1020	SWE	55.6514	13.2233
6094	T1040	SWE	55.6494	13.2147
6097	T1070	SWE	55.6481	13.2264
6098	T1080	SWE	55.6561	13.2178
6099	T1090	SWE	55.6575	13.2386
6105	T450	SWE	55.7967	13.1211
6106	T460	SWE	55.7931	13.1186
6107	T470	SWE	55.7942	13.1222
6108	T480	SWE	55.7989	13.1206
6109	T510	SWE	55.7936	13.1233
6111	T530	SWE	55.7989	13.1219
6112	T540	SWE	55.7967	13.1044
6114	T570	SWE	55.8097	13.1342
6115	T580	SWE	55.8	13.1367
6122	T670	SWE	55.8364	13.3075
6125	T710	SWE	55.8403	13.3106
6126	T720	SWE	55.8411	13.3047
6128	T740	SWE	55.8397	13.2881
6131	T780	SWE	55.8369	13.3181
6132	T790	SWE	55.8386	13.3186
6133	T800	SWE	55.8364	13.2906
6134	T810	SWE	55.8383	13.2906
6136	T840	SWE	55.9336	13.5519
6137	T850	SWE	55.9419	13.5603
6138	T860	SWE	55.9403	13.5511
6140	T880	SWE	55.9392	13.5539
6142	T900	SWE	55.9428	13.5558
6145	T930	SWE	55.9497	13.5533
6148	T960	SWE	55.9319	13.5508
6149	T970	SWE	55.9281	13.5481
6150	T980	SWE	55.9261	13.5319
6151	T990	SWE	55.6528	13.2244
6169	TÅD	SWE	62.8714	18.3447
6172	TÅD	SWE	62.8717	18.3436
6173	TÅD	SWE	62.8717	18.3419
6174	TÅD	SWE	62.8719	18.3422
6177	TÄL	SWE	62.6322	17.69
6180	TÄL	SWE	62.6322	17.6906
