	latitude	longitude	Germination_time_mhi	Green_mhi	Red_mhi	Survival_flowering_mhi	Flowering_time_mhi	Inflorescence_size_mhi	Survival_fruit_mhi	Fruits_mhi	Seeds_mhi	Fitness_mhi	Germination_time_mli	Green_mli	Red_mli	Survival_flowering_mli	Flowering_time_mli	Inflorescence_size_mli	Survival_fruit_mli	Fruits_mli	Seeds_mli	Fitness_mli	Germination_time_thi	Green_thi	Red_thi	Survival_flowering_thi	Flowering_time_thi	Inflorescence_size_thi	Survival_fruit_thi	Fruits_thi	Seeds_thi	Fitness_thi	Germination_time_tli	Green_tli	Red_tli	Survival_flowering_tli	Flowering_time_tli	Inflorescence_size_tli	Survival_fruit_tli	Fruits_tli	Seeds_tli	Fitness_tli	day6	day14	day18	day20	day22	day25	day27	day29	day32	day34	day36	day39	day42	day47	day49	day53	day57	day62	day69	polint	polqua	polslo	T_germ	T_inf	T_repro	PostInf_duration	nSiliques	RosetteArea	RosetteDM	InfloDM	RootDM	ShootAlloc	RootAlloc	ReproAlloc	LUEinf	FvFm_mean	FvFm_sd	FvFm_median	FvFm_S	FvFm_Wmax	RAinf	ERinf	RERinf	DMinf	GRinf	RGRinf	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
latitude	NA	0.466	0.067	-0.126	0.026	0.033	0.38	-0.134	0.058	-0.125	-0.125	-0.081	0.064	-0.18	0.083	-0.025	0.337	0.107	-0.091	0.127	0.127	-0.021	-0.234	-0.252	0.002	-0.054	0.406	-0.291	0.043	-0.282	-0.282	-0.21	-0.182	-0.202	0.034	-0.17	0.4	0.101	-0.047	0.123	0.123	0.035	0.323	0.161	0.183	0.187	0.191	0.167	0.164	0.142	0.102	0.088	0.061	0.078	0.065	0.052	0.027	0.007	0.064	0.082	-0.041	0.068	-0.009	-0.076	-0.146	0.308	0.265	0.209	NA	0.242	0.259	0.135	0.191	0.249	-0.254	-0.177	0.184	0.193	-0.055	0.19	-0.061	-0.057	0.242	0.166	-0.284	0.259	0.226	-0.264	-0.767	-0.646	-0.672	0.156	-0.797	-0.55	-0.192	0.306	-0.703	-0.743	-0.685	0.063	-0.174	0.462	-0.513	-0.119	0.367	0.534	-0.193
longitude	2.29E-39	NA	-0.062	-0.098	0.016	-0.015	0.153	-0.097	-0.042	-0.097	-0.097	-0.113	-0.086	-0.132	-0.02	0.13	0.14	0.146	0.092	0.162	0.162	0.147	-0.194	-0.171	0.009	-0.03	0.192	-0.093	-0.065	-0.088	-0.088	-0.107	-0.165	-0.129	0.042	-0.061	0.183	0.131	0.086	0.145	0.145	0.146	0.201	0.123	0.154	0.154	0.178	0.202	0.199	0.196	0.15	0.125	0.113	0.13	0.111	0.072	0.089	0.069	0.075	0.086	-0.026	0.11	-0.03	0.024	-0.15	0.083	0.026	-0.02	NA	0.151	0.07	0.074	0.021	0.082	-0.115	-0.025	0.003	0.05	-0.148	0.018	0.07	-0.081	0.151	0.152	-0.029	0.07	0.054	-0.023	-0.556	-0.22	-0.802	0.635	-0.275	-0.664	0.332	0.414	-0.614	-0.249	-0.691	-0.178	-0.14	0.046	-0.039	-0.157	-0.056	0.236	-0.382
Germination_time_mhi	0.0767	0.0999	NA	-0.401	0.135	-0.176	0.038	0.098	-0.129	0.087	0.087	-0.016	0.217	-0.146	-0.023	0.004	0.051	0.037	-0.015	0.042	0.042	0.007	0.199	-0.148	0.099	-0.005	0.012	-0.08	0.023	-0.075	-0.075	-0.057	0.037	-0.128	-0.001	-0.02	0.002	-0.091	-0.015	-0.1	-0.1	-0.052	-0.063	0.054	-0.019	-0.042	-0.044	-0.032	-0.025	-0.009	-0.014	-0.019	-0.023	-0.046	-0.071	-0.022	0.01	0.043	-0.004	-0.051	-0.036	0.04	-0.037	-0.087	0.068	-0.022	-0.013	0.017	NA	-0.003	-0.034	-0.039	-0.045	-0.037	0.024	0.015	-0.035	0.117	-0.087	0.121	-0.053	0.072	-0.003	-0.002	0.013	-0.034	-0.043	0.035	-0.038	-0.079	-0.029	-0.025	-0.101	0.018	-0.063	-0.034	-0.006	-0.096	-0.005	0.026	-0.032	0.07	-0.082	-0.002	0.054	0.034	0.049
Green_mhi	0.000809	0.00902	1.36E-28	NA	-0.056	0.176	-0.233	0.002	0.141	-0.001	-0.001	0.083	-0.141	0.48	0.053	-0.099	-0.071	0.01	-0.083	0.007	0.007	-0.056	-0.061	0.475	-0.055	0.09	-0.142	0.163	-0.031	0.156	0.156	0.122	-0.083	0.419	-0.034	-0.009	-0.07	-0.012	-0.09	-0.018	-0.018	-0.096	0.242	0.132	0.117	0.123	0.147	0.137	0.128	0.115	0.119	0.108	0.105	0.078	0.003	-0.166	-0.174	-0.071	-0.084	-0.044	-0.012	-0.014	-0.032	-0.036	-0.068	-0.066	-0.061	-0.06	NA	0.044	-0.006	0.137	0.02	-0.029	-0.107	0.069	-0.028	-0.16	-0.005	-0.165	-0.077	-0.037	0.044	0.065	0.058	-0.006	0.017	0.04	0.166	-0.041	0.138	-0.138	0.057	0.119	-0.128	-0.014	0.108	0.076	0.139	0.172	0.186	0.105	-0.043	0.184	0.137	0.089	0.137
Red_mhi	0.49	0.673	0.000318	0.134	NA	-0.201	0.001	-0.077	-0.104	-0.082	-0.082	-0.137	0.004	0.019	0.05	0.012	0.037	0.075	-0.021	0.078	0.078	0.021	0.075	0.02	0.076	-0.047	-0.019	-0.008	-0.035	-0.014	-0.014	-0.023	0.021	-0.045	-0.022	-0.015	-0.019	-0.086	-0.068	-0.08	-0.08	-0.095	-0.006	-0.043	-0.077	-0.055	-0.035	-0.012	0.027	0.066	0.079	0.077	0.089	0.09	0.038	0.028	0.037	0.054	0.033	0.053	0.111	0.118	0.027	0.015	-0.113	-0.009	-0.037	-0.055	NA	-0.043	-0.058	-0.03	-0.06	-0.036	0.035	0.035	-0.068	-0.097	0.083	-0.091	-0.006	-0.07	-0.043	-0.011	0.033	-0.058	-0.068	-0.039	-0.013	-0.002	0.031	0.003	-0.02	-0.025	0.014	0.011	-0.011	-0.028	-0.02	0.026	0.046	0.01	0.006	0.049	-0.001	0.051	0.008
Survival_flowering_mhi	0.386	0.685	2.79E-06	2.68E-06	7.43E-08	NA	0.03	-0.009	0.589	-0.014	-0.014	0.319	0.042	-0.048	0.02	-0.032	0.002	-0.07	0.024	-0.068	-0.068	-0.013	-0.036	-0.008	0.063	-0.024	0.023	-0.012	0.007	-0.019	-0.019	-0.005	-0.085	-0.023	0.008	0.021	-0.017	-0.053	0.031	-0.035	-0.035	0.023	-0.134	-0.079	-0.047	-0.113	-0.107	-0.128	-0.126	-0.116	-0.067	-0.052	-0.053	-0.031	0.071	0.074	0.027	0.087	0.071	0.066	-0.02	-0.056	0.097	0.048	0.133	-0.001	0.059	0.084	NA	-0.031	0.061	-0.026	0.032	0.062	-0.064	-0.055	0.077	-0.066	-0.051	-0.082	0.018	-0.018	-0.031	-0.004	0.072	0.061	0.074	0.05	-0.004	-0.02	-0.028	0.012	0.007	-0.014	-0.016	0.001	0.002	0.019	-0.01	-0.047	-0.064	-0.057	0.022	-0.064	-0.059	-0.062	-0.033
Flowering_time_mhi	1.43E-25	4.67E-05	0.321	3.88E-10	0.979	0.426	NA	-0.326	0.009	-0.288	-0.288	-0.231	0.024	-0.219	0.061	-0.436	0.773	-0.106	-0.325	-0.081	-0.081	-0.271	-0.1	-0.192	0.018	-0.139	0.871	-0.472	-0.088	-0.444	-0.444	-0.409	-0.07	-0.15	0.018	-0.39	0.838	0.074	-0.166	0.118	0.118	-0.066	-0.138	-0.069	-0.051	-0.028	-0.036	-0.01	0.02	0.058	0.084	0.094	0.098	0.112	0.184	0.206	0.169	0.199	0.135	0.097	-0.026	0.066	0.058	0.087	-0.088	0.709	0.757	0.712	NA	0.393	0.743	0.2	0.625	0.708	-0.357	-0.645	0.699	0.339	0.096	0.389	0.018	-0.103	0.393	0.267	-0.444	0.743	0.715	-0.395	-0.404	-0.245	-0.253	0.056	-0.41	-0.332	-0.065	-0.003	-0.291	-0.438	-0.349	-0.017	-0.202	0.222	-0.354	-0.196	0.19	0.186	-0.111
Inflorescence_size_mhi	0.000351	0.00982	0.00934	0.96	0.0423	0.806	7.53E-19	NA	0.032	0.99	0.99	0.82	0.025	0.062	-0.036	0.085	-0.284	0.108	0.131	0.101	0.101	0.148	0.076	-0.017	0.02	0.02	-0.248	0.317	0.038	0.296	0.296	0.261	0.065	0.03	0.001	0.173	-0.233	-0.019	0.045	-0.061	-0.061	0.004	0.091	0.053	0.083	0.115	0.114	0.147	0.134	0.121	0.076	0.054	0.05	0.038	-0.012	-0.054	-0.009	-0.075	-0.013	0.018	0.099	0.071	0.025	0.094	0.001	-0.283	-0.302	-0.286	NA	-0.057	-0.286	0.074	-0.224	-0.292	0.124	0.271	-0.279	-0.07	-0.213	-0.126	-0.086	0.161	-0.057	0.011	0.182	-0.286	-0.276	0.179	0.199	0.054	0.115	-0.094	0.15	0.134	-0.047	0.075	0.089	0.184	0.154	0.147	0.198	0.076	0.027	0.195	0.096	0.072	0.122
Survival_fruit_mhi	0.122	0.262	0.000603	0.00018	0.00568	6.72E-67	0.806	0.39	NA	0.03	0.03	0.547	0.091	-0.016	0.052	-0.038	0.023	-0.036	0.006	-0.032	-0.032	-0.003	-0.004	0.025	0.025	-0.007	0.037	0.034	-0.027	0.024	0.024	0.004	-0.008	-0.01	-0.012	-0.028	0.01	-0.004	0.009	0.002	0.002	0.008	-0.023	-0.034	-0.009	-0.03	-0.035	-0.067	-0.064	-0.078	-0.057	-0.039	-0.044	-0.05	-0.006	0.029	-0.006	0.004	-0.028	-0.012	0.02	0.094	-0.048	0.03	0.052	0.055	0.092	0.099	NA	-0.012	0.078	0.025	0.081	0.065	-0.066	-0.04	0.08	0.035	-0.065	0.01	-0.009	-0.022	-0.012	-0.007	0.055	0.078	0.074	-0.063	-0.031	-0.049	0.003	-0.047	-0.066	-0.017	-0.074	-0.044	-0.005	-0.06	-0.024	-0.021	-0.032	-0.004	-0.053	-0.037	0.003	-0.02	-0.011
Fruits_mhi	0.000846	0.00978	0.0209	0.97	0.0297	0.71	6.84E-15	0	0.419	NA	1	0.826	0.014	0.052	-0.033	0.067	-0.253	0.1	0.123	0.094	0.094	0.139	0.083	-0.027	0.018	0.02	-0.212	0.29	0.032	0.274	0.274	0.241	0.064	0.025	0.01	0.162	-0.195	-0.027	0.041	-0.064	-0.064	-0.001	0.07	0.041	0.072	0.101	0.101	0.135	0.125	0.113	0.072	0.053	0.049	0.036	-0.009	-0.043	-0.002	-0.064	-0.006	0.019	0.08	0.064	0.042	0.09	0.018	-0.246	-0.264	-0.251	NA	-0.041	-0.247	0.081	-0.199	-0.251	0.104	0.233	-0.241	-0.068	-0.196	-0.121	-0.083	0.149	-0.041	0.013	0.153	-0.247	-0.239	0.16	0.176	0.06	0.109	-0.087	0.142	0.114	-0.035	0.067	0.08	0.167	0.135	0.135	0.183	0.08	0.017	0.177	0.097	0.069	0.112
